Company,DIV'D,CMRK,TechRank,^vCM,HISTVO,INDUST,CMPRICE,VOLF,TKR,C/P,STRIKE,OPTKR,Record Number,EXPDAY,OI,VOL,BID,ASK,EST,DLTA,Bid oprk,Ask oprk,Bid UN/OV,Ask UN/OV,RVOPT,10%,-10%,CCMPRK,CCMPBE,CCMPRV,CCPWPA,CCPWPT,CCPWMX,I/OTM,THETA,Bid Implied,Ask Implied,VOLFADJ,PrtbStrk VOLF,Bid PrtbStrk Implied,Ask PrtbStrk Implied,PctDble,Margin,Yld Margin,Max Margin,ROBUY,ROWRT,ROCCMP,06/17/2021
Intel Corporation,0.02439,1,3,,0.3444,Semiconductor,57.28,0.29703,INTC,C,57,INTC  210702C00057000,90618,7/2/2021 12:00:00 AM,517,592,1.14,1.32,1.09502,54.77402,3,2,0.04729,0.23606,905.4374,3.88162,-0.98632,1,56.07876,16.82406,0.37385,0.02097,0.01639,0.00489,-3.55035,0.21038,0.2483,0.20088,0.54361,0.54165,0.53531,0.02576,0.2,0.07585,0.09951,77139,170575,6760
Intel Corporation,0.02439,1,3,,0.3444,Semiconductor,57.28,0.30208,INTC,C,57.5,INTC  210709C00057500,129518,7/9/2021 12:00:00 AM,278,197,1.1,1.21,1.05338,48.06303,3,2,0.03979,0.13401,902.9594,3.80244,-0.97583,1,56.09197,19.62929,0.33511,0.02074,0.02503,-0.00384,-2.89064,0.21221,0.23144,0.20409,0.4669,0.46817,0.47081,0.0263,0.19616,0.09901,0.0979,56160,169409,7048
Cheniere Energy Inc,0,1,4,,0.35287,Oil & Gas Distro,86.17,0.25463,LNG,C,86,LNG   210709C00086000,665890,7/9/2021 12:00:00 AM,0,0,2.1,2.4,2.03938,53.22637,3,2,0.03191,0.18973,810.2919,3.0056,-0.95509,1,84.07,19.13821,0.36432,0.02437,0.02296,0.00197,-4.80072,0.228,0.26287,0.22095,0.52222,0.52153,0.51868,0.03327,0.2,0.1131,0.12185,67174,168111,7365
Cheniere Energy Inc,0,1,4,,0.35287,Oil & Gas Distro,86.17,0.25463,LNG,C,86.5,LNG   210709C00086500,665891,7/9/2021 12:00:00 AM,0,0,1.85,2.15,1.79442,49.46822,3,2,0.02919,0.18666,865.7589,3.2717,-0.96031,1,84.32,20.67499,0.34818,0.02147,0.02585,-0.00383,-4.7887,0.22739,0.26218,0.22094,0.48054,0.48109,0.4836,0.03057,0.19617,0.11056,0.10944,66521,167664,7488
Expedia Group Inc,0,1,3,,0.42327,Internet,165.94,0.39472,EXPE,C,167.5,EXPE  210709C00167500,468585,7/9/2021 12:00:00 AM,5,3,4,4.35,3.80597,46.92893,3,2,0.04378,0.12283,927.3392,2.81691,-0.93034,1,161.94,26.26723,0.39199,0.02411,0.03433,-0.0094,-10.78615,0.27897,0.3001,0.26727,0.45112,0.45316,0.45644,0.0355,0.1906,0.12759,0.12647,54166,169999,6899
Cheniere Energy Inc,0,1,4,,0.35287,Oil & Gas Distro,86.17,0.26319,LNG,C,87.5,LNG   210716C00087500,185436,7/16/2021 12:00:00 AM,132,47,1.8,2.1,1.72703,43.82922,3,2,0.03262,0.16691,841.6033,3.0223,-0.93663,1,84.37,23.88194,0.25957,0.02089,0.0371,-0.01543,-4.27144,0.23708,0.26791,0.22959,0.4166,0.4192,0.42839,0.03309,0.18457,0.11463,0.11318,62528,168219,7333
S&P Global Inc,0.00801,1,3,,0.27567,Information Services,400.8,0.2319,SPGI,C,400,SPGI  210716C00400000,53252,7/16/2021 12:00:00 AM,1116,42,8.1,9.2,7.73423,53.20823,3,2,0.05135,0.20491,690.9929,3.78425,-0.98244,1,392.4361,13.56615,0.23418,0.02087,0.01925,0.002,-14.44187,0.1646,0.18864,0.15656,0.52482,0.52361,0.5206,0.02643,0.2,0.09252,0.10105,70354,171232,6582
Adobe Inc,0,1,4,,0.32076,Computer Software/Svcs,551.43,0.28777,ADBE,C,555,ADBE  210716C00555000,112851,7/16/2021 12:00:00 AM,358,71,13,15.7,12.94261,48.61829,3,2,0.00416,0.19361,778.5754,2.78955,-0.93239,1,538.43,21.49659,0.29376,0.02358,0.03077,-0.00647,-27.31061,0.22686,0.26966,0.22592,0.46924,0.46937,0.47422,0.03585,0.19353,0.12327,0.12182,67962,163775,8681
Transdigm Group Incorporated,0,1,4,,0.39277,Aerospace/Defense,668.59,0.28849,TDG,C,670,TDG   210716C00670000,290501,7/16/2021 12:00:00 AM,40,2,15.4,17.5,14.66836,50.82999,3,2,0.04922,0.19037,733.2212,3.11317,-0.95567,1,653.19,17.72123,0.28685,0.02303,0.02574,-0.00211,-29.3376,0.2042,0.23167,0.19462,0.49534,0.49556,0.49608,0.03212,0.19789,0.11785,0.1164,67299,170876,6685
Snap Inc,0,1,4,,0.63642,Internet,62.21,0.64098,SNAP,C,70,SNAP  210723C00070000,127280,7/23/2021 12:00:00 AM,288,56,1.62,1.92,1.54822,28.35952,3,2,0.02104,0.10725,982.3214,1.35012,-0.69233,1,60.59,68.91151,0.26376,0.02604,0.15531,-0.12522,-5.088,0.53036,0.57514,0.51943,0.24117,0.24571,0.26288,0.07407,0.1,0.2622,0.26041,51541,166404,7840
