Company,DIV'D,CMRK,TechRank,^vCM,HISTVO,INDUST,CMPRICE,VOLF,TKR,C/P,STRIKE,OPTKR,Record Number,EXPDAY,OI,VOL,BID,ASK,EST,DLTA,Bid oprk,Ask oprk,Bid UN/OV,Ask UN/OV,RVOPT,10%,-10%,CCMPRK,CCMPBE,CCMPRV,CCPWPA,CCPWPT,CCPWMX,I/OTM,THETA,Bid Implied,Ask Implied,VOLFADJ,PrtbStrk VOLF,Bid PrtbStrk Implied,Ask PrtbStrk Implied,PctDble,Margin,Yld Margin,Max Margin,ROBUY,ROWRT,ROCCMP,11/10/2021
Aurora Cannabis Inc,0,4,4,,0.92511,Cannabis,7.11,0.88493,ACB,P,6.5,ACB   211119P00006500,92011,11/19/2021 12:00:00 AM,564,229,0.1,0.11,0.14864,20.72151,3,1,-0.16487,-0.12974,2502.534,-0.79187,2.40804,3,6.40315,32.41112,0.58801,0.10034,0.01611,-0.08579,-1.20415,0.70538,0.73505,0.84463,0.25944,0.21993,0.22927,0.04153,0.11421,0.12364,0.12315,7236,91267,157679
FuelCell Energy Inc,0,4,9,,1.17335,Power,10.24,1.28549,FCEL,P,9.5,FCEL  211119P00009500,61767,11/19/2021 12:00:00 AM,1024,573,0.34,0.36,0.48076,29.60977,3,1,-0.1925,-0.16474,2061.882,-0.60766,1.20568,3,9.16461,67.33645,1.3725,0.10595,0.0376,-0.07227,-2.93808,0.99163,1.02573,1.22803,0.35517,0.32277,0.32828,0.08294,0.12773,0.26042,0.25994,6028,88778,147176
Globe Life Inc,0.00854,4,3,,0.28833,Insurance (Life),92.77,0.36592,GL,P,95,GL    211119P00095000,71235,11/19/2021 12:00:00 AM,833,0,2.6,2.85,3.07628,73.84897,3,1,-0.32613,-0.14912,1103.739,-0.98928,3.21306,3,92.44607,38.79259,0.16386,0.00399,0.02862,0.02404,-5.0563,0.19115,0.24136,0.28366,0.69166,0.77121,0.72183,0.03112,0.2,0.02043,0.14013,6522,72829,151842
Ulta Beauty Inc,0,3,2,,0.42157,Retail (Hardlines),391.07,0.65537,ULTA,P,375,ULTA  211119P00375000,159400,11/19/2021 12:00:00 AM,208,10,2.15,2.6,7.08025,20.16205,3,1,-0.43847,-0.39287,5049.364,-0.98815,9.07257,2,373.0319,20.23822,0.22817,0.04708,0.00625,-0.04109,-28.44444,0.30437,0.32909,0.54204,0.31807,0.19975,0.21792,0.01102,0.15891,0.03508,0.0346,6752,89104,35643
Ulta Beauty Inc,0,3,2,,0.42157,Retail (Hardlines),391.07,0.65537,ULTA,P,377.5,ULTA  211119P00377500,350912,11/19/2021 12:00:00 AM,23,12,2.65,3,7.28687,23.46122,3,1,-0.4139,-0.3796,4389.034,-0.98773,8.24154,2,375.0331,22.31423,0.27574,0.04196,0.00755,-0.0347,-30.32854,0.30102,0.31864,0.5136,0.33683,0.23621,0.24863,0.01213,0.1653,0.04148,0.04099,7241,91360,37480
Sorrento Therapeutics Inc,0,5,9,,0.9958,Biotechnology,6.4,0.89296,SRNE,P,6.5,SRNE  211126P00006500,185297,11/26/2021 12:00:00 AM,150,4,0.4,0.48,0.53019,50.81607,3,1,-0.27207,-0.10489,1196.846,-0.56141,0.9269,3,6.10536,81.72917,1.07363,0.04688,0.0664,0.01563,-1.1241,0.63221,0.7774,0.8685,0.53121,0.54284,0.53486,0.10789,0.2,0.2352,0.3125,1736,50568,236560
Sorrento Therapeutics Inc,0,5,9,,0.9958,Biotechnology,6.4,0.89296,SRNE,P,7,SRNE  211126P00007000,173127,11/26/2021 12:00:00 AM,174,11,0.75,0.83,0.86529,68.17883,3,1,-0.259,-0.07711,905.9865,-0.4616,0.63255,3,6.25577,112.9079,0.53299,0.02344,0.12082,0.09375,-1.05329,0.66265,0.82531,0.89427,0.67726,0.73265,0.69093,0.15809,0.2,0.11801,0.58594,2085,50833,243761
FuelCell Energy Inc,0,4,9,,1.17335,Power,10.24,1.27847,FCEL,P,9,FCEL  211126P00009000,82393,11/26/2021 12:00:00 AM,670,218,0.32,0.35,0.52481,23.61177,3,1,-0.23214,-0.19694,1744.626,-0.53158,0.97531,3,8.68742,54.67394,0.80924,0.15317,0.03769,-0.12109,-1.95349,0.96012,1.00414,1.25039,0.31512,0.26536,0.27444,0.10253,0.1,0.31332,0.3125,4977,85644,137576
FuelCell Energy Inc,0,4,9,,1.17335,Power,10.24,1.27847,FCEL,P,9.5,FCEL  211126P00009500,171631,11/26/2021 12:00:00 AM,177,40,0.47,0.54,0.68967,32.06621,3,1,-0.2284,-0.15496,1490.783,-0.49761,0.83845,3,9.03783,71.55931,1.13522,0.11899,0.05287,-0.07227,-2.24773,0.92983,1.01833,1.20507,0.3853,0.35275,0.36502,0.11927,0.12773,0.36015,0.35933,6327,85922,150092
Sorrento Therapeutics Inc,0,5,9,,0.9958,Biotechnology,6.4,0.91132,SRNE,P,6.5,SRNE  211203P00006500,244045,12/3/2021 12:00:00 AM,76,0,0.49,0.58,0.63046,49.22774,3,1,-0.24219,-0.08704,973.6083,-0.47167,0.71498,3,6.01756,80.77998,1.0046,0.06094,0.08269,0.01563,-0.99161,0.6715,0.80898,0.88611,0.52516,0.53319,0.52756,0.13986,0.2,0.30585,0.38281,1946,67120,241148
FuelCell Energy Inc,0,4,9,,1.17335,Power,10.24,1.27203,FCEL,P,9,FCEL  211203P00009000,185892,12/3/2021 12:00:00 AM,148,25,0.43,0.52,0.67505,26.17767,3,1,-0.23019,-0.14415,1315.163,-0.44426,0.71559,3,8.58047,59.36611,0.78078,0.16425,0.05134,-0.12109,-1.75716,0.94273,1.04809,1.22462,0.33916,0.29502,0.31398,0.13974,0.1,0.42109,0.41992,6703,85787,153338
Sorrento Therapeutics Inc,0,5,9,,0.9958,Biotechnology,6.4,0.92181,SRNE,P,6,SRNE  211210P00006000,435796,12/10/2021 12:00:00 AM,10,10,0.35,0.42,0.4651,34.36848,3,1,-0.18506,-0.07226,976.4009,-0.45228,0.71392,3,5.65902,57.55002,0.74707,0.11869,0.06345,-0.0625,-0.8595,0.73689,0.83889,0.90423,0.40106,0.37922,0.39353,0.14007,0.1375,0.39923,0.39773,2161,68612,244974
Paysign Inc,0,4,9,e,0.79531,Financial Svcs. (Div.),2.43,1.03378,PAYS,P,2.5,PAYS  211217P00002500,96374,12/17/2021 12:00:00 AM,523,3,0.2,0.25,0.33606,51.58062,3,1,-0.4548,-0.28759,992.8653,-0.45404,0.66614,3,2.30461,91.43621,0.56061,0.0535,0.0888,0.02881,-0.24037,0.52189,0.68195,0.95725,0.53426,0.56266,0.54803,0.15012,0.2,0.26933,0.41152,2698,68075,111049
Yamana Gold Inc,0.0297,5,3,,0.49473,Precious Metals,4.37,0.42178,AUY,P,4,AUY   211217P00004000,80813,12/17/2021 12:00:00 AM,690,68,0.07,0.08,0.08856,22.38767,3,1,-0.10397,-0.04728,1128.981,-0.76495,2.13938,3,3.93737,17.40517,0.18879,0.10253,0.01965,-0.08467,-0.21023,0.37617,0.39997,0.41982,0.25983,0.2362,0.24957,0.04674,0.11533,0.14073,0.13889,2516,71509,251202
Sorrento Therapeutics Inc,0,5,9,,0.9958,Biotechnology,6.4,0.92847,SRNE,P,6,SRNE  211217P00006000,49465,12/17/2021 12:00:00 AM,1378,158,0.41,0.48,0.53519,34.91523,3,1,-0.17986,-0.0791,859.8483,-0.40809,0.6132,3,5.60106,58.79208,0.7222,0.12841,0.07519,-0.0625,-0.78294,0.74574,0.83736,0.90928,0.4105,0.39132,0.40296,0.16308,0.1375,0.46775,0.46591,2056,68777,243224
Lifevantage Corporation,0,4,9,e,0.56363,Drug,6.89,0.57883,LFVN,P,7.5,LFVN  211217P00007500,265857,12/17/2021 12:00:00 AM,59,0,0.65,0.8,0.88843,73.75162,3,1,-0.54651,-0.18541,740.5824,-0.57238,0.79869,3,6.86382,79.6736,0.07379,0.00581,0.09673,0.08853,-0.32453,0.26455,0.4752,0.58336,0.67036,0.83453,0.70583,0.12521,0.2,0.03087,0.4717,5351,50179,140979
Eldorado Gold Corp Ltd,0,5,9,,0.6223,Precious Metals,9.96,0.60734,EGO,P,10,EGO   211217P00010000,242384,12/17/2021 12:00:00 AM,77,30,0.5,0.6,0.72992,47.93183,3,1,-0.32024,-0.18099,913.0076,-0.62459,1.13301,3,9.51843,49.79762,0.4828,0.04618,0.05447,0.00402,-0.68245,0.38136,0.45948,0.56102,0.50477,0.50702,0.50583,0.08826,0.2,0.23277,0.251,1158,49858,216069
Cel Sci Corporation New,0,5,9,,1.02251,Biotechnology,11.72,0.92367,CVM,P,13,CVM   211217P00013000,738423,12/17/2021 12:00:00 AM,0,0,1.75,2.05,2.09784,62.21074,3,1,-0.27719,-0.03738,619.4291,-0.33818,0.42927,3,11.27396,100.4243,0.41899,0.0401,0.1574,0.10922,-1.34479,0.63007,0.83912,0.8717,0.64131,0.69174,0.64655,0.23296,0.2,0.20235,0.74659,2705,50475,253652
Cel Sci Corporation New,0,5,9,,1.02251,Biotechnology,11.72,0.92367,CVM,P,14,CVM   211217P00014000,447693,12/17/2021 12:00:00 AM,8,3,2.35,2.85,2.88157,76.27147,3,1,-0.51232,-0.02569,578.0092,-0.32995,0.35809,3,11.6758,128.1488,0.07541,0.00597,0.20356,0.19454,-0.96372,0.44247,0.88398,0.90729,0.72605,0.89106,0.73131,0.27926,0.2,0.03171,1.00256,2912,16315,256469
Marinus Pharmaceuticals Inc,0,4,9,e,0.90231,Biotechnology,12.53,0.91454,MRNS,P,14,MRNS  211217P00014000,527824,12/17/2021 12:00:00 AM,2,0,1.8,1.95,2.31338,68.73469,3,1,-0.39383,-0.27339,736.425,-0.39571,0.51674,3,12.2258,110.9492,0.27751,0.02634,0.14938,0.11732,-1.0433,0.52837,0.63335,0.87165,0.65095,0.73887,0.70327,0.19352,0.2,0.13353,0.71828,2954,69932,115075
