Company,DIV'D,CMRK,TechRank,^vCM,HISTVO,INDUST,CMPRICE,VOLF,TKR,C/P,STRIKE,OPTKR,Record Number,EXPDAY,OI,VOL,BID,ASK,EST,DLTA,Bid oprk,Ask oprk,Bid UN/OV,Ask UN/OV,RVOPT,10%,-10%,CCMPRK,CCMPBE,CCMPRV,CCPWPA,CCPWPT,CCPWMX,I/OTM,THETA,Bid Implied,Ask Implied,VOLFADJ,PrtbStrk VOLF,Bid PrtbStrk Implied,Ask PrtbStrk Implied,PctDble,Margin,Yld Margin,Max Margin,ROBUY,ROWRT,ROCCMP,07/22/2021
Invesco Mortgage Capital Inc,0.10811,3,3,,0.57234,R.E.I.T.,3.46,0.31604,IVR,C,3.5,IVR   210730C00003500,14020,7/30/2021 12:00:00 AM,4248,318,0.07,0.08,0.02703,43.59949,5,3,0.95187,1.1688,823.8064,3.16936,-0.94415,1,3.38078,22.59049,0.94554,0.0229,0.03511,-0.01156,-0.53663,0.42217,0.46909,0.21629,0.34308,0.418,0.4261,0.03155,0.18844,0.1078,0.10736,336361,314321,16220
Nokia Corp,0,3,3,,0.43283,Telecom. Equipment,5.75,0.40782,NOK,C,6,NOK   210730C00006000,1420,7/30/2021 12:00:00 AM,23327,5040,0.13,0.14,0.03831,35.84515,5,3,0.86652,0.95368,998.5421,2.31388,-0.8616,1,5.62,40.34746,0.93812,0.02261,0.06762,-0.04348,-1.22487,0.63389,0.66349,0.33961,0.2148,0.33608,0.34299,0.04322,0.15652,0.14488,0.14444,322543,313874,18273
PG&E Corporation,0,5,4,,0.70505,Electric Utility (West),9.31,0.31407,PCG,C,9.5,PCG   210730C00009500,224506,7/30/2021 12:00:00 AM,67,11,0.15,0.18,0.05534,39.4579,5,3,0.81658,1.06341,944.6209,3.76086,-0.96093,3,9.16,24.22357,0.66412,0.01611,0.03712,-0.02041,-1.32743,0.39249,0.44582,0.21606,0.28008,0.37421,0.38884,0.02659,0.17959,0.09015,0.08971,350889,315033,99501
Co Diagnostics Inc,0,5,5,e,1.12481,Biotechnology,10.56,0.89425,CODX,C,11,CODX  210730C00011000,366844,7/30/2021 12:00:00 AM,12,1006,0.75,0.9,0.37281,48.05971,5,3,0.69019,0.96181,947.7513,0.71534,-0.50916,3,9.81,80.40261,3.10058,0.07102,0.1213,-0.04167,-5.62365,1.41285,1.6399,0.83591,0.37917,0.42778,0.43769,0.13979,0.15833,0.449,0.44856,348092,314875,107236
Mattel  Inc,0,3,3,,0.45978,Recreation,19.36,0.33169,MAT,C,19.5,MAT   210730C00019500,88337,7/30/2021 12:00:00 AM,461,3,0.6,0.7,0.21303,48.90726,5,3,1.42484,1.7914,602.7392,2.03439,-0.85902,1,18.76,21.28675,1.29709,0.03099,0.03945,-0.00723,-3.99485,0.54554,0.62801,0.22498,0.42403,0.46851,0.47264,0.04915,0.19277,0.16121,0.16077,355620,315122,8909
Mattel  Inc,0,3,3,,0.45978,Recreation,19.36,0.33169,MAT,C,20,MAT   210730C00020000,88838,7/30/2021 12:00:00 AM,457,44,0.4,0.5,0.09089,38.10559,5,3,1.1626,1.50671,790.3678,2.51378,-0.88714,1,18.96,28.76829,0.8556,0.02066,0.05485,-0.03306,-3.80496,0.54279,0.62916,0.25099,0.20778,0.35329,0.37267,0.03978,0.16694,0.1242,0.12376,349390,314843,12062
Juniper Networks Inc,0.02923,5,3,,0.27664,Telecom. Equipment,27.29,0.28058,JNPR,C,27.5,JNPR  210730C00027500,105523,7/30/2021 12:00:00 AM,342,64,0.65,0.7,0.28366,46.9794,5,3,0.97002,1.10164,787.9279,2.87921,-0.93454,3,26.62033,21.90831,1.01876,0.02454,0.033,-0.0077,-4.36083,0.43957,0.46894,0.22313,0.41025,0.45415,0.45701,0.03473,0.1923,0.12429,0.12386,351839,315145,91082
Juniper Networks Inc,0.02923,5,3,,0.27664,Telecom. Equipment,27.29,0.28058,JNPR,C,28,JNPR  210730C00028000,124735,7/30/2021 12:00:00 AM,253,104,0.4,0.5,0.16877,36.511,5,3,0.60466,0.85092,1117.933,3.82381,-0.95803,3,26.87033,29.68581,0.63251,0.01538,0.042,-0.02602,-3.95029,0.40516,0.46734,0.25249,0.25624,0.34157,0.36172,0.02615,0.17398,0.08468,0.08425,344310,314736,113117
Weyerhaeuser Company,0.0196,3,3,,0.37427,Paper/Forest Products,34.13,0.22262,WY,C,34.5,WY    210730C00034500,166842,7/30/2021 12:00:00 AM,140,2,0.55,0.65,0.17654,43.49163,5,3,1.18683,1.49625,730.3658,4.1657,-0.97806,1,33.56351,16.04733,0.68385,0.0166,0.02788,-0.01084,-4.2773,0.33535,0.3828,0.15335,0.32645,0.41853,0.42851,0.02401,0.18916,0.08563,0.08519,349094,314871,11699
Corning Inc,0.02355,3,3,,0.31908,Electrical Equipment,40.38,0.25949,GLW,C,41,GLW   210730C00041000,214025,7/30/2021 12:00:00 AM,77,86,0.71,0.81,0.2237,41.79751,5,3,1.1012,1.31905,794.9036,3.67187,-0.96188,1,39.64655,19.96884,0.7494,0.01816,0.03411,-0.01535,-5.71046,0.38929,0.42965,0.18527,0.2985,0.40066,0.40983,0.02723,0.18465,0.09566,0.09523,343074,314724,13106
Corning Inc,0.02355,3,3,,0.31908,Electrical Equipment,40.38,0.25949,GLW,C,41.5,GLW   210730C00041500,146173,7/30/2021 12:00:00 AM,185,1,0.54,0.62,0.14796,34.59488,5,3,0.88886,1.05405,1025.9,4.37262,-0.96984,1,39.81655,25.1192,0.57325,0.01395,0.04225,-0.02774,-5.37683,0.39173,0.42599,0.20739,0.19918,0.3274,0.34048,0.02287,0.17226,0.07807,0.07763,329738,314011,17694
Skechers USA,0,3,3,,0.50257,Shoe,51.2,0.50112,SKX,C,52,SKX   210730C00052000,408470,7/30/2021 12:00:00 AM,7,186,2.35,2.55,0.77117,48.35606,5,3,1.43723,1.61776,643.1673,1.29535,-0.71397,1,48.85,33.06169,1.95098,0.0459,0.06448,-0.01563,-15.66437,0.84255,0.90496,0.3457,0.39067,0.45466,0.45778,0.0772,0.18438,0.24938,0.24894,352201,315125,8815
PulteGroup Inc,0.01121,3,3,,0.38298,Homebuilding,52.57,0.25714,PHM,C,53,PHM   210730C00053000,188632,7/30/2021 12:00:00 AM,106,30,1.2,1.3,0.39318,46.7572,5,3,1.41643,1.59047,642.7883,3.01625,-0.9423,1,51.35547,17.29109,0.95859,0.0231,0.03201,-0.00818,-8.11894,0.42377,0.45429,0.17537,0.3859,0.45224,0.45543,0.03315,0.19182,0.11944,0.119,351587,315117,8983
