Company,DIV'D,CMRK,TechRank,^vCM,HISTVO,INDUST,CMPRICE,VOLF,TKR,C/P,STRIKE,OPTKR,Record Number,EXPDAY,OI,VOL,BID,ASK,EST,DLTA,Bid oprk,Ask oprk,Bid UN/OV,Ask UN/OV,RVOPT,10%,-10%,CCMPRK,CCMPBE,CCMPRV,CCPWPA,CCPWPT,CCPWMX,I/OTM,THETA,Bid Implied,Ask Implied,VOLFADJ,PrtbStrk VOLF,Bid PrtbStrk Implied,Ask PrtbStrk Implied,PctDble,Margin,Yld Margin,Max Margin,ROBUY,ROWRT,ROCCMP,06/18/2021
Cronos Group Inc,0,4,4,,0.87806,Cannabis,8.36,0.71057,CRON,P,8.5,CRON  210625P00008500,43929,6/25/2021 12:00:00 AM,1031,228,0.29,0.36,0.41983,57.15348,3,1,-0.38166,-0.17501,1862.916,-0.85139,2.03188,3,8.2133,73.85499,0.85129,0.01794,0.03571,0.01675,-1.50425,0.43148,0.57568,0.6978,0.56238,0.60022,0.57547,0.04922,0.2,0.0901,0.17344,5154,83394,147868
iQiyi Inc,0,4,5,,0.60986,Entertainment,14.63,0.60226,IQ,P,14,IQ    210625P00014000,25053,6/25/2021 12:00:00 AM,2057,64,0.15,0.17,0.24126,25.18066,3,1,-0.2177,-0.16838,3120.043,-0.9434,4.80234,3,13.85543,27.34713,0.51183,0.0537,0.01122,-0.04306,-2.02494,0.45879,0.48771,0.58646,0.30452,0.25663,0.26928,0.02082,0.15694,0.06572,0.06533,5418,102940,149927
3D Systems Corporation,0,5,3,,0.71931,Electronics,27.95,0.97485,DDD,P,30,DDD   210625P00030000,62741,6/25/2021 12:00:00 AM,627,870,2.35,2.55,2.76948,74.38972,3,1,-0.33563,-0.16864,1366.468,-0.64704,0.99016,3,27.66164,124.1771,0.51273,0.01073,0.08538,0.07335,-5.4983,0.59887,0.7494,0.90141,0.70107,0.78639,0.73711,0.10099,0.2,0.05406,0.42039,988,58725,226858
Urban Outfitters Inc,0,5,3,v,0.49707,Retail (SoftLines),37.04,0.55791,URBN,P,38.5,URBN  210625P00038500,427173,6/25/2021 12:00:00 AM,3,2,1.65,1.85,2.02649,74.71657,3,1,-0.39555,-0.17592,1376.435,-0.90328,1.94392,3,36.86494,72.24123,0.25294,0.00513,0.04516,0.03942,-3.94316,0.31559,0.43026,0.52211,0.68975,0.79365,0.72602,0.05144,0.2,0.02604,0.22273,946,58013,224809
First Solar Inc,0,4,3,,0.47398,Power,77.01,0.48468,FSLR,P,74.5,FSLR  210625P00074500,386430,6/25/2021 12:00:00 AM,6,89,0.65,0.79,1.14895,26.57871,3,1,-0.26378,-0.18721,3357.909,-0.97717,6.43483,3,73.8789,24.08228,0.41927,0.04142,0.00919,-0.03259,-8.75515,0.36022,0.39768,0.48928,0.32175,0.2648,0.28454,0.01554,0.16741,0.05081,0.05042,4738,90509,143852
First Solar Inc,0,4,3,,0.47398,Power,77.01,0.48468,FSLR,P,75,FSLR  210625P00075000,155271,6/25/2021 12:00:00 AM,124,379,0.8,0.9,1.29947,30.39581,3,1,-0.25311,-0.20134,3042.778,-0.97538,5.82525,3,74.2291,27.19974,0.50961,0.03688,0.01117,-0.0261,-9.18864,0.36091,0.38593,0.48322,0.35379,0.30775,0.31929,0.01717,0.1739,0.06013,0.05974,4297,91410,139441
First Solar Inc,0,4,3,,0.47398,Power,77.01,0.48468,FSLR,P,76.5,FSLR  210625P00076500,348712,6/25/2021 12:00:00 AM,10,22,1.3,1.5,1.88368,43.76003,3,1,-0.27434,-0.18027,2241.014,-0.96502,4.15351,3,75.22968,38.31839,0.80643,0.02389,0.01768,-0.00662,-10.08896,0.34313,0.38761,0.47285,0.45999,0.44495,0.45123,0.02408,0.19338,0.08768,0.0873,4973,89654,146148
First Solar Inc,0,4,3,,0.47398,Power,77.01,0.48468,FSLR,P,77,FSLR  210625P00077000,163316,6/25/2021 12:00:00 AM,111,55,1.56,1.74,2.12634,48.5358,3,1,-0.26394,-0.18005,2022.133,-0.95836,3.66777,3,75.46987,42.43107,0.96117,0.02077,0.02107,-0.00013,-10.24449,0.34748,0.38708,0.47208,0.49704,0.49598,0.4964,0.02726,0.19987,0.10174,0.10135,4980,90492,146219
VF Corporation,0.02498,4,1,,0.34562,Apparel,79.66,0.53243,VFC,P,80,VFC   210625P00080000,170564,6/25/2021 12:00:00 AM,101,1,1.1,1.3,2.15462,54.88658,3,1,-0.53736,-0.43516,2686.172,-0.9986,5.92865,2,78.93104,42.56658,0.45718,0.00954,0.01433,0.00427,-6.06135,0.19375,0.23655,0.41879,0.52841,0.56121,0.5502,0.01687,0.2,0.04809,0.06904,911,59546,74089
VF Corporation,0.02498,4,1,,0.34562,Apparel,79.66,0.53243,VFC,P,81,VFC   210625P00081000,296748,6/25/2021 12:00:00 AM,20,0,1.75,2.05,2.81585,68.35911,3,1,-0.5555,-0.39122,1979.365,-0.99466,3.90207,2,79.28142,55.26454,0.25374,0.00515,0.02247,0.01682,-5.75832,0.19405,0.26577,0.43656,0.60279,0.72114,0.66568,0.02563,0.2,0.02612,0.10984,1175,59196,84517
Novavax Inc,0,4,3,e,1.00972,Biotechnology,174.68,0.86344,NVAX,P,167.5,NVAX  210625P00167500,36218,6/25/2021 12:00:00 AM,1317,35,2.72,3.15,4.65303,29.59062,3,1,-0.27497,-0.21219,2841.616,-0.87918,3.12283,3,164.845,42.02142,0.77083,0.05706,0.01689,-0.0411,-32.12952,0.55599,0.60413,0.76685,0.35453,0.30341,0.31789,0.03202,0.1589,0.09838,0.098,4007,89595,136039
Momo Inc,0,5,5,,0.57454,Computer Software/Svcs,14.9,0.61111,MOMO,P,15,MOMO  210702P00015000,173899,7/2/2021 12:00:00 AM,98,10,0.55,0.65,0.72775,50.70188,3,1,-0.2612,-0.11423,1327.4,-0.78288,1.75526,3,14.46091,53.03228,0.77549,0.0302,0.03879,0.00671,-1.80303,0.41729,0.5003,0.56482,0.52076,0.52809,0.52344,0.05697,0.2,0.15173,0.18456,1434,60072,241644
Urban Outfitters Inc,0,5,3,v,0.49707,Retail (SoftLines),37.04,0.53876,URBN,P,39,URBN  210702P00039000,567961,7/2/2021 12:00:00 AM,0,0,2.35,2.6,2.69663,71.18587,3,1,-0.2664,-0.07174,945.9718,-0.74247,1.29245,3,36.67837,66.18441,0.27664,0.01053,0.06485,0.05292,-3.42356,0.36831,0.46604,0.50206,0.69128,0.75202,0.70474,0.07737,0.2,0.05337,0.31722,1883,59981,252582
Urban Outfitters Inc,0,5,3,v,0.49707,Retail (SoftLines),37.04,0.53876,URBN,P,39.5,URBN  210702P00039500,707549,7/2/2021 12:00:00 AM,0,0,2.7,3,3.10944,76.37718,3,1,-0.33331,-0.08284,908.2554,-0.72218,1.16108,3,36.82873,73.67004,0.1764,0.00648,0.0741,0.06641,-3.03077,0.34725,0.47771,0.52086,0.72644,0.81677,0.74424,0.08613,0.2,0.03312,0.36447,1748,58756,249697
Phillips 66 Partners LP,0.08578,5,5,,0.43015,Pipeline MLPs,39.08,0.43301,PSXP,P,40.5,PSXP  210702P00040500,349282,7/2/2021 12:00:00 AM,10,0,1.7,1.95,1.98647,75.6903,3,1,-0.35326,-0.04148,873.8362,-0.91223,1.97225,3,38.82946,45.85991,0.1933,0.00716,0.04454,0.03634,-2.01916,0.2116,0.31361,0.32718,0.71914,0.81521,0.72755,0.0507,0.2,0.03655,0.2175,2347,58489,260024
VF Corporation,0.02498,4,1,,0.34562,Apparel,79.66,0.50478,VFC,P,79.5,VFC   210702P00079500,373272,7/2/2021 12:00:00 AM,7,0,1.3,1.5,2.47757,47.60271,3,1,-0.46301,-0.38437,2045.389,-0.98212,4.59776,2,78.25783,34.89896,0.42222,0.01906,0.01735,-0.00201,-4.70024,0.21259,0.24372,0.39589,0.49149,0.48416,0.48618,0.02175,0.19799,0.08315,0.08242,1235,80470,86199
VF Corporation,0.02498,4,1,,0.34562,Apparel,79.66,0.50478,VFC,P,80,VFC   210702P00080000,344444,7/2/2021 12:00:00 AM,11,3,1.55,1.75,2.74283,53.04124,3,1,-0.46807,-0.38936,1845.96,-0.97901,4.04908,2,78.50819,38.94602,0.39301,0.01519,0.02049,0.00427,-4.63753,0.21091,0.24212,0.3965,0.52261,0.54245,0.537,0.0247,0.2,0.07668,0.09729,1193,80325,84989
VF Corporation,0.02498,4,1,,0.34562,Apparel,79.66,0.50478,VFC,P,82,VFC   210702P00082000,550326,7/2/2021 12:00:00 AM,0,0,2.85,3.1,4.11277,72.65329,3,1,-0.51207,-0.40214,1345.975,-0.95279,2.46958,2,79.20965,57.14719,0.17449,0.0064,0.03673,0.02937,-3.83559,0.20725,0.25394,0.42475,0.63296,0.75685,0.71505,0.04049,0.2,0.03274,0.17889,1095,60059,81886
Akamai Technologies Inc,0,5,5,,0.32514,E-Commerce,114.88,0.33163,AKAM,P,112,AKAM  210702P00112000,321790,7/2/2021 12:00:00 AM,14,3,0.8,1,1.07272,27.44371,3,1,-0.14238,-0.03733,2171.014,-0.99329,8.56129,3,111.2815,12.47164,0.19276,0.03276,0.00792,-0.02507,-5.62224,0.21046,0.23624,0.2454,0.2998,0.27022,0.29276,0.01168,0.17493,0.04054,0.03981,2420,82948,261000
Cronos Group Inc,0,4,4,,0.87806,Cannabis,8.36,0.79044,CRON,P,8,CRON  210709P00008000,155538,7/9/2021 12:00:00 AM,124,10,0.29,0.34,0.45597,35.14908,3,1,-0.27743,-0.19314,1400.193,-0.64311,1.29739,3,7.71853,50.72467,0.64174,0.07882,0.03868,-0.04306,-1.01546,0.56309,0.62878,0.77929,0.40685,0.37217,0.38512,0.07708,0.15694,0.2221,0.22104,4561,89399,142026
Urban Outfitters Inc,0,5,3,v,0.49707,Retail (SoftLines),37.04,0.5262,URBN,P,40,URBN  210709P00040000,862774,7/9/2021 12:00:00 AM,0,0,3.3,3.6,3.71295,75.41182,3,1,-0.27954,-0.07226,734.3932,-0.62791,0.9359,3,36.74267,70.82985,0.1714,0.00918,0.09099,0.07991,-2.5687,0.36541,0.47054,0.50719,0.72869,0.80097,0.74418,0.10685,0.2,0.04696,0.44546,1876,59712,252433
Phillips 66 Partners LP,0.08578,5,5,,0.43015,Pipeline MLPs,39.08,0.43283,PSXP,P,41,PSXP  210709P00041000,410803,7/9/2021 12:00:00 AM,4,0,2.2,2.6,2.60397,78.16503,3,1,-0.43591,-0.00375,721.9252,-0.83519,1.48791,3,38.84374,48.58101,0.13743,0.00716,0.05777,0.04913,-1.52435,0.18932,0.33436,0.33562,0.73627,0.86868,0.73704,0.06721,0.2,0.03689,0.28147,2986,57667,268655
Growgeneration Corporation,0,4,3,v,0.83742,Cannabis,40.29,0.82491,GRWG,P,41.5,GRWG  210709P00041500,303409,7/9/2021 12:00:00 AM,18,7,2.93,3.15,3.83747,54.71864,3,1,-0.28642,-0.21675,1083.595,-0.55542,0.89657,3,38.61427,81.67162,0.75756,0.04269,0.07703,0.03003,-5.25039,0.57514,0.63129,0.80599,0.55731,0.58004,0.57301,0.11154,0.2,0.21452,0.36361,3869,88727,134650
Growgeneration Corporation,0,4,3,v,0.83742,Cannabis,40.29,0.82491,GRWG,P,42.5,GRWG  210709P00042500,360420,7/9/2021 12:00:00 AM,9,1,3.6,3.8,4.47919,60.8258,3,1,-0.28151,-0.21668,990.0852,-0.52401,0.79294,3,38.94534,91.45835,0.61054,0.0345,0.09361,0.05485,-5.12872,0.58338,0.63602,0.81195,0.60355,0.64259,0.63125,0.12611,0.2,0.17357,0.44676,3872,89090,134676
CyberArk Software Ltd,0,4,3,ev,0.4224,Cyber Security,138.38,0.50015,CYBR,P,133,CYBR  210709P00133000,744983,7/9/2021 12:00:00 AM,0,17,2.2,2.75,3.65848,30.52666,3,1,-0.26552,-0.16359,1611.573,-0.87074,2.9666,3,130.9419,25.6407,0.29675,0.05584,0.01789,-0.03888,-9.42209,0.33314,0.37937,0.45357,0.3573,0.30928,0.33098,0.03371,0.16112,0.09974,0.09867,5621,90376,151462
CyberArk Software Ltd,0,4,3,ev,0.4224,Cyber Security,138.38,0.50015,CYBR,P,137,CYBR  210709P00137000,589284,7/9/2021 12:00:00 AM,0,7,3.7,4.2,5.13334,43.14004,3,1,-0.24632,-0.16027,1269.626,-0.84278,2.30701,3,133.4462,34.77806,0.47821,0.03778,0.02882,-0.00997,-10.21649,0.3281,0.36556,0.43533,0.45868,0.44525,0.45083,0.04335,0.19003,0.14177,0.14071,5765,100354,152503
CyberArk Software Ltd,0,4,3,ev,0.4224,Cyber Security,138.38,0.50015,CYBR,P,142,CYBR  210709P00142000,589485,7/9/2021 12:00:00 AM,0,0,6.3,7,7.94338,59.92255,3,1,-0.28177,-0.1609,995.8408,-0.79053,1.6471,3,135.8515,48.96005,0.34536,0.01937,0.04749,0.02616,-9.81919,0.31689,0.37022,0.44121,0.59039,0.62484,0.60733,0.06071,0.2,0.0979,0.22763,5742,89068,152295
Novavax Inc,0,4,3,e,1.00972,Biotechnology,174.68,0.93848,NVAX,P,160,NVAX  210709P00160000,273645,7/9/2021 12:00:00 AM,26,1,4.1,5,7.63487,25.74557,3,1,-0.29209,-0.21507,1649.349,-0.65929,1.44878,3,156.0707,40.28657,0.45402,0.10858,0.02737,-0.08404,-19.59869,0.59818,0.66326,0.84499,0.33422,0.27259,0.29266,0.06902,0.11596,0.20348,0.20241,3928,88290,135186
Kinross Gold Corporation,0.01544,4,3,,0.5039,Precious Metals,6.43,0.47045,KGC,P,6,KGC   210716P00006000,70491,7/16/2021 12:00:00 AM,526,175,0.1,0.11,0.16492,24.2769,3,1,-0.22777,-0.19119,1508.847,-0.81631,2.55081,3,5.90844,21.75749,0.23103,0.08383,0.01836,-0.06687,-0.36591,0.37373,0.39143,0.48396,0.30548,0.25503,0.26469,0.0392,0.13313,0.11823,0.11682,4613,101999,142614
NextCure Inc,0,5,5,e,0.84807,Biotechnology,7.85,0.8306,NXTC,P,7.5,NXTC  210716P00007500,106038,7/16/2021 12:00:00 AM,267,5,0.3,0.35,0.4635,35.34367,3,1,-0.27073,-0.1874,1192.388,-0.60678,1.16019,3,7.21055,47.70152,0.54213,0.08421,0.04307,-0.04459,-0.78173,0.5315,0.59223,0.72881,0.40949,0.37682,0.38911,0.08619,0.15541,0.24731,0.2459,899,59875,221569
Co Diagnostics Inc,0,5,5,e,1.13675,Biotechnology,8.14,1.09848,CODX,P,8,CODX  210716P00008000,145568,7/16/2021 12:00:00 AM,143,26,0.6,0.75,0.84407,42.191,3,1,-0.26787,-0.10333,968.1609,-0.41699,0.6127,3,7.41125,79.3394,1.0382,0.09232,0.08249,-0.0172,-1.26013,0.74345,0.91053,1.01546,0.47388,0.46434,0.47087,0.16321,0.1828,0.40463,0.40323,1537,59947,244479
Cronos Group Inc,0,4,4,,0.87806,Cannabis,8.36,0.80818,CRON,P,8,CRON  210716P00008000,22350,7/16/2021 12:00:00 AM,2331,97,0.38,0.44,0.55909,36.50294,3,1,-0.25299,-0.16785,1126.318,-0.55248,0.97633,3,7.63125,53.78573,0.64536,0.08992,0.05128,-0.04306,-0.94265,0.59437,0.66212,0.79567,0.41975,0.39315,0.40385,0.10242,0.15694,0.29104,0.28963,5444,91419,150083
