Company,DIV'D,CMRK,TechRank,^vCM,HISTVO,INDUST,CMPRICE,VOLF,TKR,C/P,STRIKE,OPTKR,Record Number,EXPDAY,OI,VOL,BID,ASK,EST,DLTA,Bid oprk,Ask oprk,Bid UN/OV,Ask UN/OV,RVOPT,10%,-10%,CCMPRK,CCMPBE,CCMPRV,CCPWPA,CCPWPT,CCPWMX,I/OTM,THETA,Bid Implied,Ask Implied,VOLFADJ,PrtbStrk VOLF,Bid PrtbStrk Implied,Ask PrtbStrk Implied,PctDble,Margin,Yld Margin,Max Margin,ROBUY,ROWRT,ROCCMP,07/22/2021
India Globalization Capital Inc,0,3,3,,1.23571,Diversified Co.,2.85,1.16799,IGC,P,2.5,IGC   210820P00002500,273146,8/20/2021 12:00:00 AM,38,4043,0.5,0.55,0.20448,29.79925,5,3,0.89459,1.04635,350.3792,-0.14885,0.17644,4,2.00364,64.19641,3.05937,0.2997,0.25145,-0.12281,-1.07539,2.20402,2.38056,1.16332,0.3456,0.41696,0.42304,0.56677,0.1,1.75584,1.75439,324607,299873,330426
Brainstorm Cell Therapeutics Inc,0,3,3,e,0.65722,Biotechnology,3.45,0.52343,BCLI,P,3,BCLI  210820P00003000,56697,8/20/2021 12:00:00 AM,890,9,0.15,0.2,0.03348,25.92229,5,3,0.89206,1.22244,458.1965,-0.41265,0.6337,4,2.85436,22.70264,0.65805,0.17537,0.05409,-0.13043,-0.51425,0.89481,1.05106,0.47293,0.14881,0.291,0.31966,0.1578,0.1,0.43624,0.43478,336607,299815,340066
India Globalization Capital Inc,0,3,3,,1.23571,Diversified Co.,2.85,1.16799,IGC,P,3,IGC   210820P00003000,444949,8/20/2021 12:00:00 AM,4,3266,0.8,0.9,0.45701,39.53869,5,3,0.93193,1.21042,281.307,-0.12471,0.14148,4,2.20436,83.56648,3.6124,0.22807,0.36509,0.05263,-1.23022,2.20493,2.52277,1.14131,0.56053,0.53142,0.52747,0.70681,0.2,1.14181,1.40351,335952,300680,339519
Spectrum Pharmaceuticals Inc,0,3,3,e,0.69667,Biotechnology,3.34,0.63606,SPPI,P,3,SPPI  210820P00003000,26583,8/20/2021 12:00:00 AM,2239,23,0.2,0.25,0.06041,30.2987,5,3,0.88629,1.18112,429.728,-0.37241,0.54267,4,2.80436,28.45721,0.88675,0.16313,0.07288,-0.1018,-0.5689,0.95669,1.10622,0.50718,0.22712,0.34578,0.36576,0.18428,0.1,0.60026,0.5988,334223,299673,338135
India Globalization Capital Inc,0,3,3,,1.23571,Diversified Co.,2.85,1.16799,IGC,P,3.5,IGC   210820P00003500,511354,8/20/2021 12:00:00 AM,1,2144,1.2,1.3,0.82781,46.8884,5,3,0.97402,1.23119,237.665,-0.10174,0.11269,4,2.30509,103.9377,2.92712,0.19298,0.52319,0.22807,-1.35064,2.36294,2.67078,1.19702,0.72388,0.61834,0.60504,0.88736,0.2,0.96637,2.10526,337103,301340,340468
Chembio Diagnostics Inc,0,3,3,e,0.69399,Medical Supplies  (Noninvasive),4.38,0.5374,CEMI,P,5,CEMI  210820P00005000,8047,8/20/2021 12:00:00 AM,6804,12568,1.35,1.4,0.66412,47.99394,5,3,3.18926,3.40743,130.0488,-0.14221,0.1644,5,3.65727,40.71397,2.45103,0.16667,0.37132,0.14155,-1.62505,1.91906,2.019,0.45809,0.84061,0.59405,0.58948,0.60828,0.2,0.83479,1.5411,366677,303785,366527
International Seaways Inc,0,2,2,e^,0.51978,Maritime,16.5,0.50256,INSW,P,15,INSW1 210820P00015000,704914,8/20/2021 12:00:00 AM,0,0,5.3,6.3,0.28249,26.25029,5,3,6.55587,7.95908,64.23177,-0.07259,0.07745,5,9.72182,22.47414,6.66547,0.41358,0.54785,-0.09091,-9.76174,3.49323,4.14196,0.46232,0.23268,0.46151,0.46753,1.29108,0.10909,2.9459,2.94444,369427,303822,369314
International Seaways Inc,0,2,2,e^,0.51978,Maritime,16.5,0.50256,INSW,P,17.5,INSW1 210820P00017500,841998,8/20/2021 12:00:00 AM,0,0,7.9,9,1.39121,28.08306,5,3,8.61084,10.25884,42.69981,-0.05353,0.05663,5,9.62546,21.77166,8.76249,0.41818,0.82437,0.06061,-11.54673,4.02348,4.7134,0.41864,0.68372,0.51984,0.51694,1.76585,0.2,2.09236,2.39394,369651,303826,369607
International Seaways Inc,0,2,2,e^,0.51978,Maritime,16.5,0.50256,INSW,P,20,INSW1 210820P00020000,674972,8/20/2021 12:00:00 AM,0,0,10.4,11.5,3.71262,29.60206,5,3,5.98406,7.05591,52.07931,-0.04355,0.04602,5,9.6291,34.42336,8.76249,0.41818,1.08479,0.21212,-12.78911,4.38564,5.05871,0.62795,0.85554,0.56035,0.55237,2.17276,0.2,2.09236,3.15152,369239,303818,369102
Maxar Technologies Inc,0.00117,1,3,,0.7433,Aerospace/Defense,34.87,0.60102,MAXR,P,30,MAXR  210820P00030000,46882,8/20/2021 12:00:00 AM,1140,64,0.95,1.1,0.40946,21.14592,5,3,0.39508,0.49294,739.5012,-0.52926,0.97731,3,29.09364,20.75903,0.41558,0.16836,0.03416,-0.13966,-3.65008,0.73956,0.79144,0.53012,0.15896,0.23703,0.25176,0.10232,0.1,0.2739,0.27244,319729,299884,121612
