Company,DIV'D,CMRK,TechRank,^vCM,HISTVO,INDUST,CMPRICE,VOLF,TKR,C/P,STRIKE,OPTKR,Record Number,EXPDAY,OI,VOL,BID,ASK,EST,DLTA,Bid oprk,Ask oprk,Bid UN/OV,Ask UN/OV,RVOPT,10%,-10%,CCMPRK,CCMPBE,CCMPRV,CCPWPA,CCPWPT,CCPWMX,I/OTM,THETA,Bid Implied,Ask Implied,VOLFADJ,PrtbStrk VOLF,Bid PrtbStrk Implied,Ask PrtbStrk Implied,PctDble,Margin,Yld Margin,Max Margin,ROBUY,ROWRT,ROCCMP,06/16/2021
3D Systems Corporation,0,5,3,,0.71931,Electronics,27.99,0.96243,DDD,P,31,DDD   210625P00031000,296208,6/25/2021 12:00:00 AM,35,72,3.3,3.5,3.75586,78.13844,3,1,-0.32269,-0.17209,1131.072,-0.53192,0.72188,3,27.71503,140.9806,0.39983,0.01036,0.11962,0.10754,-4.88863,0.6599,0.80662,0.97429,0.73577,0.82399,0.77679,0.13853,0.2,0.05229,0.5895,1313,44737,216124
First Solar Inc,0,4,2,,0.47398,Power,77.33,0.48424,FSLR,P,74,FSLR  210625P00074000,191157,6/25/2021 12:00:00 AM,119,8,0.61,0.69,1.14716,22.69923,3,1,-0.26512,-0.22325,3339.276,-0.96847,6.3087,3,73.42588,20.83201,0.32108,0.05144,0.0088,-0.04306,-7.13706,0.36419,0.38494,0.49558,0.29373,0.23018,0.24245,0.01585,0.15694,0.05075,0.05026,4443,70946,131826
VF Corporation,0.02498,4,1,,0.34562,Apparel,81.55,0.52399,VFC,P,82,VFC   210625P00082000,424713,6/25/2021 12:00:00 AM,8,0,1.35,1.5,2.46697,55.56263,3,1,-0.50544,-0.43721,2308.181,-0.99541,5.0465,2,80.68976,42.45294,0.42502,0.01104,0.01722,0.00552,-5.58937,0.20405,0.2322,0.41259,0.53327,0.56704,0.55897,0.01982,0.2,0.05567,0.08277,1172,45863,75930
VF Corporation,0.02498,4,1,,0.34562,Apparel,81.55,0.52399,VFC,P,83,VFC   210625P00083000,239718,6/25/2021 12:00:00 AM,67,0,1.95,2.2,3.12775,68.03082,3,1,-0.54361,-0.42214,1831.403,-0.99068,3.63386,2,81.09025,53.88293,0.24287,0.00613,0.02454,0.01778,-5.05714,0.1952,0.24715,0.4277,0.59939,0.70941,0.66847,0.02752,0.2,0.03114,0.11956,1312,45175,79386
Best Buy Company,0.02435,5,3,^,0.38872,Retail (Hardlines),109.97,0.36408,BBY,P,114,BBY   210625P00114000,318216,6/25/2021 12:00:00 AM,28,7,4.45,4.7,4.76578,79.65477,3,1,-0.20664,-0.04059,881.2092,-0.95932,2.28705,3,109.6053,43.24369,0.15764,0.00382,0.04111,0.03665,-6.16706,0.23258,0.28126,0.29316,0.772,0.8263,0.78142,0.04372,0.2,0.01958,0.20233,2990,62451,245326
Hecla Mining Company,0.00225,5,5,,0.66338,Precious Metals,8.73,0.83343,HL,P,8.5,HL    210702P00008500,143086,7/2/2021 12:00:00 AM,222,73,0.25,0.3,0.49699,38.11891,3,1,-0.41534,-0.33049,1928.72,-0.75289,1.78469,3,8.25701,57.94568,0.66832,0.05581,0.03113,-0.02635,-1.06964,0.47993,0.54958,0.82087,0.4385,0.39561,0.40859,0.05603,0.17365,0.16573,0.16491,377,43797,173429
Momo Inc,0,5,9,,0.57454,Computer Software/Svcs,15.09,0.61262,MOMO,P,15,MOMO  210702P00015000,212834,7/2/2021 12:00:00 AM,93,6,0.45,0.55,0.6827,45.2206,3,1,-0.31847,-0.18157,1472.732,-0.808,2.00082,3,14.56237,47.4205,0.68174,0.03661,0.03175,-0.00596,-1.57565,0.38593,0.46345,0.56627,0.47779,0.46743,0.47287,0.04998,0.19404,0.15451,0.15369,1227,44792,213726
Momo Inc,0,5,9,,0.57454,Computer Software/Svcs,15.09,0.61262,MOMO,P,15.5,MOMO  210702P00015500,314635,7/2/2021 12:00:00 AM,29,10,0.76,0.85,0.96709,58.81736,3,1,-0.28434,-0.16007,1150.289,-0.73801,1.4355,3,14.75278,62.256,0.52752,0.02319,0.05238,0.02717,-1.61016,0.40905,0.48008,0.57157,0.58342,0.61575,0.59901,0.06966,0.2,0.1168,0.25182,1421,45339,219088
Hewlett Packard Enterprise Company,0.03067,5,2,,0.39388,Computers/Peripherals,15.55,0.3842,HPE,P,16,HPE   210702P00016000,151562,7/2/2021 12:00:00 AM,199,10,0.55,0.65,0.6502,70.93343,3,1,-0.31542,-0.00068,847.7347,-0.93879,2.35445,3,15.46319,36.5189,0.15667,0.00643,0.03642,0.02894,-0.73537,0.19032,0.27782,0.27801,0.68636,0.76092,0.68647,0.04247,0.2,0.03298,0.17685,3770,44841,252898
3D Systems Corporation,0,5,3,,0.71931,Electronics,27.99,0.93113,DDD,P,32,DDD   210702P00032000,358788,7/2/2021 12:00:00 AM,18,0,4.4,4.6,4.92329,77.99522,3,1,-0.29129,-0.17267,835.629,-0.4214,0.53445,3,27.62638,136.3717,0.32109,0.01393,0.16024,0.14327,-3.68744,0.66914,0.78114,0.94417,0.74313,0.82159,0.78504,0.18711,0.2,0.07049,0.78599,1309,45208,215964
