TKR,C/P,STRIKE,OPTKR,EXPDAY
AAL,P,23,AAL   210820P00023000,2021-08-20
AAL,P,24,AAL   210820P00024000,2021-08-20
AAL,P,24.32,"",2021-08-20
AAPL,C,62.5,AAPL  210618C00062500,2021-06-18
AAPL,C,75,AAPL  210618C00075000,2021-06-18
AAPL,C,90,AAPL  210618C00090000,2021-06-18
AAPL,C,92.5,AAPL  210618C00092500,2021-06-18
AAPL,C,95,AAPL  210618C00095000,2021-06-18
AAPL,C,97.5,AAPL  210618C00097500,2021-06-18
AAPL,C,100,AAPL  210618C00100000,2021-06-18
AAPL,C,102.5,AAPL  210618C00102500,2021-06-18
AAPL,C,105,AAPL  210618C00105000,2021-06-18
AAPL,C,107.5,AAPL  210618C00107500,2021-06-18
AAPL,C,110,AAPL  210618C00110000,2021-06-18
AAPL,C,112.5,AAPL  210618C00112500,2021-06-18
AAPL,C,115,AAPL  210618C00115000,2021-06-18
AAPL,C,117.5,AAPL  210618C00117500,2021-06-18
AAPL,C,120,AAPL  210618C00120000,2021-06-18
AAPL,C,122.5,AAPL  210618C00122500,2021-06-18
AAPL,C,123,AAPL  210618C00123000,2021-06-18
AAPL,C,124,AAPL  210618C00124000,2021-06-18
AAPL,C,125,AAPL  210618C00125000,2021-06-18
AAPL,C,126,AAPL  210618C00126000,2021-06-18
AAPL,C,126.04,"",2021-06-18
AAPL,C,127,AAPL  210618C00127000,2021-06-18
AAPL,C,128,AAPL  210618C00128000,2021-06-18
AAPL,C,129,AAPL  210618C00129000,2021-06-18
AAPL,C,130,AAPL  210618C00130000,2021-06-18
AAPL,C,131,AAPL  210618C00131000,2021-06-18
AAPL,C,132,AAPL  210618C00132000,2021-06-18
AAPL,C,133,AAPL  210618C00133000,2021-06-18
AAPL,C,134,AAPL  210618C00134000,2021-06-18
AAPL,C,135,AAPL  210618C00135000,2021-06-18
AAPL,C,136,AAPL  210618C00136000,2021-06-18
AAPL,C,138,AAPL  210618C00138000,2021-06-18
AAPL,C,140,AAPL  210618C00140000,2021-06-18
AAPL,C,145,AAPL  210618C00145000,2021-06-18
AAPL,C,150,AAPL  210618C00150000,2021-06-18
AAPL,C,155,AAPL  210618C00155000,2021-06-18
AAPL,C,160,AAPL  210618C00160000,2021-06-18
AAPL,C,165,AAPL  210618C00165000,2021-06-18
AAPL,C,170,AAPL  210618C00170000,2021-06-18
AAPL,C,175,AAPL  210618C00175000,2021-06-18
AAPL,C,180,AAPL  210618C00180000,2021-06-18
AAPL,C,185,AAPL  210618C00185000,2021-06-18
AAPL,C,190,AAPL  210618C00190000,2021-06-18
AAPL,C,195,AAPL  210618C00195000,2021-06-18
AAPL,C,200,AAPL  210618C00200000,2021-06-18
AAPL,C,225,AAPL  210618C00225000,2021-06-18
AAPL,C,250,AAPL  210618C00250000,2021-06-18
AAPL,P,18.75,AAPL  210618P00018750,2021-06-18
AAPL,P,20,AAPL  210618P00020000,2021-06-18
AAPL,P,25,AAPL  210618P00025000,2021-06-18
AAPL,P,30,AAPL  210618P00030000,2021-06-18
AAPL,P,35,AAPL  210618P00035000,2021-06-18
AAPL,P,36.25,AAPL  210618P00036250,2021-06-18
AAPL,P,37.5,AAPL  210618P00037500,2021-06-18
AAPL,P,38.75,AAPL  210618P00038750,2021-06-18
AAPL,P,40,AAPL  210618P00040000,2021-06-18
AAPL,P,42.5,AAPL  210618P00042500,2021-06-18
AAPL,P,43.75,AAPL  210618P00043750,2021-06-18
AAPL,P,45,AAPL  210618P00045000,2021-06-18
AAPL,P,46.25,AAPL  210618P00046250,2021-06-18
AAPL,P,47.5,AAPL  210618P00047500,2021-06-18
AAPL,P,50,AAPL  210618P00050000,2021-06-18
AAPL,P,52.5,AAPL  210618P00052500,2021-06-18
AAPL,P,53.75,AAPL  210618P00053750,2021-06-18
AAPL,P,55,AAPL  210618P00055000,2021-06-18
AAPL,P,56.25,AAPL  210618P00056250,2021-06-18
AAPL,P,57.5,AAPL  210618P00057500,2021-06-18
AAPL,P,58.75,AAPL  210618P00058750,2021-06-18
AAPL,P,60,AAPL  210618P00060000,2021-06-18
AAPL,P,61.25,AAPL  210618P00061250,2021-06-18
AAPL,P,62.5,AAPL  210618P00062500,2021-06-18
AAPL,P,63.75,AAPL  210618P00063750,2021-06-18
