TKR,C/P,STRIKE,OPTKR,EXPDAY
AVYA,P,28.66,"",2021-06-18
AVYA,P,12.5,AVYA  210716P00012500,2021-07-16
AVYA,P,28.66,"",2021-07-16
AXL,C,12,AXL   210716C00012000,2021-07-16
AXL,C,12.35,"",2021-07-16
AXL,C,13,AXL   210716C00013000,2021-07-16
AXL,P,8,AXL   210716P00008000,2021-07-16
AXL,P,12.35,"",2021-07-16
AXP,C,135,AXP   210618C00135000,2021-06-18
AXP,C,160,AXP   210618C00160000,2021-06-18
AXP,C,165.21,"",2021-06-18
AXP,P,90,AXP   210618P00090000,2021-06-18
AXP,P,150,AXP   210618P00150000,2021-06-18
AXP,P,160,AXP   210618P00160000,2021-06-18
AXP,P,165.21,"",2021-06-18
AXP,C,160,AXP   210716C00160000,2021-07-16
AXP,C,165.21,"",2021-07-16
AXSM,P,30,AXSM  210618P00030000,2021-06-18
AXSM,P,40,AXSM  210618P00040000,2021-06-18
AXSM,P,61.41,"",2021-06-18
AXTA,C,32.65,"",2021-06-18
AXTA,C,34,AXTA  210618C00034000,2021-06-18
AXTA,P,30,AXTA  210618P00030000,2021-06-18
AXTA,P,32.65,"",2021-06-18
AXU,C,2.5,AXU   210716C00002500,2021-07-16
AXU,C,2.95,"",2021-07-16
AXU,C,5,AXU   210716C00005000,2021-07-16
AXU,P,2.5,AXU   210716P00002500,2021-07-16
AXU,P,2.95,"",2021-07-16
AYRO,C,5,AYRO  210618C00005000,2021-06-18
AYRO,C,5.16,"",2021-06-18
AYRO,C,7.5,AYRO  210618C00007500,2021-06-18
AYRO,C,5.16,"",2021-07-16
AYRO,C,15,AYRO  210716C00015000,2021-07-16
AYX,C,76.66,"",2021-06-18
AYX,C,80,AYX   210618C00080000,2021-06-18
AYX,C,100,AYX   210618C00100000,2021-06-18
AYX,P,76.66,"",2021-06-18
AYX,P,80,AYX   210618P00080000,2021-06-18
AYX,C,76.66,"",2021-08-20
AYX,C,125,AYX   210820C00125000,2021-08-20
AYX,C,130,AYX   210820C00130000,2021-08-20
AZEK,C,42.45,"",2021-06-18
AZEK,C,55,AZEK  210618C00055000,2021-06-18
AZN,C,55,AZN   210618C00055000,2021-06-18
AZN,C,56.82,"",2021-06-18
AZN,C,57.5,AZN   210618C00057500,2021-06-18
AZN,P,52.5,AZN   210618P00052500,2021-06-18
AZN,P,56.82,"",2021-06-18
AZN,C,50,AZN   210716C00050000,2021-07-16
AZN,C,55,AZN   210716C00055000,2021-07-16
AZN,C,56.82,"",2021-07-16
AZN,C,57.5,AZN   210716C00057500,2021-07-16
AZN,C,60,AZN   210716C00060000,2021-07-16
AZN,P,50,AZN   210716P00050000,2021-07-16
AZN,P,52.5,AZN   210716P00052500,2021-07-16
AZN,P,56.82,"",2021-07-16
BA,C,200,BA    210618C00200000,2021-06-18
BA,C,210,BA    210618C00210000,2021-06-18
BA,C,220,BA    210618C00220000,2021-06-18
BA,C,230,BA    210618C00230000,2021-06-18
BA,C,235,BA    210618C00235000,2021-06-18
BA,C,240,BA    210618C00240000,2021-06-18
BA,C,245,BA    210618C00245000,2021-06-18
BA,C,249.97,"",2021-06-18
BA,C,250,BA    210618C00250000,2021-06-18
BA,C,255,BA    210618C00255000,2021-06-18
BA,C,260,BA    210618C00260000,2021-06-18
BA,C,265,BA    210618C00265000,2021-06-18
BA,C,270,BA    210618C00270000,2021-06-18
BA,C,275,BA    210618C00275000,2021-06-18
BA,C,280,BA    210618C00280000,2021-06-18
BA,C,290,BA    210618C00290000,2021-06-18
BA,C,295,BA    210618C00295000,2021-06-18
BA,C,300,BA    210618C00300000,2021-06-18
BA,C,320,BA    210618C00320000,2021-06-18
BA,C,330,BA    210618C00330000,2021-06-18
BA,C,350,BA    210618C00350000,2021-06-18
BA,C,400,BA    210618C00400000,2021-06-18
BA,C,560,BA    210618C00560000,2021-06-18
BA,P,120,BA    210618P00120000,2021-06-18
BA,P,130,BA    210618P00130000,2021-06-18
BA,P,140,BA    210618P00140000,2021-06-18
BA,P,150,BA    210618P00150000,2021-06-18
BA,P,155,BA    210618P00155000,2021-06-18
BA,P,160,BA    210618P00160000,2021-06-18
BA,P,165,BA    210618P00165000,2021-06-18
BA,P,180,BA    210618P00180000,2021-06-18
BA,P,185,BA    210618P00185000,2021-06-18
BA,P,190,BA    210618P00190000,2021-06-18
BA,P,195,BA    210618P00195000,2021-06-18
BA,P,200,BA    210618P00200000,2021-06-18
BA,P,210,BA    210618P00210000,2021-06-18
BA,P,220,BA    210618P00220000,2021-06-18
BA,P,225,BA    210618P00225000,2021-06-18
BA,P,230,BA    210618P00230000,2021-06-18
BA,P,235,BA    210618P00235000,2021-06-18
BA,P,240,BA    210618P00240000,2021-06-18
BA,P,249.97,"",2021-06-18
BA,P,250,BA    210618P00250000,2021-06-18
BA,P,260,BA    210618P00260000,2021-06-18
BA,P,265,BA    210618P00265000,2021-06-18
BA,C,220,BA    210716C00220000,2021-07-16
BA,C,225,BA    210716C00225000,2021-07-16
BA,C,230,BA    210716C00230000,2021-07-16
BA,C,249.97,"",2021-07-16
BA,C,250,BA    210716C00250000,2021-07-16
BA,C,260,BA    210716C00260000,2021-07-16
BA,C,275,BA    210716C00275000,2021-07-16
BA,P,220,BA    210716P00220000,2021-07-16
BA,P,225,BA    210716P00225000,2021-07-16
BA,P,230,BA    210716P00230000,2021-07-16
BA,P,240,BA    210716P00240000,2021-07-16
BA,P,249.97,"",2021-07-16
BA,C,220,BA    210820C00220000,2021-08-20
BA,C,230,BA    210820C00230000,2021-08-20
BA,C,235,BA    210820C00235000,2021-08-20
BA,C,240,BA    210820C00240000,2021-08-20
BA,C,249.97,"",2021-08-20
BA,C,250,BA    210820C00250000,2021-08-20
BA,C,260,BA    210820C00260000,2021-08-20
BA,C,270,BA    210820C00270000,2021-08-20
BA,C,280,BA    210820C00280000,2021-08-20
BA,C,300,BA    210820C00300000,2021-08-20
BA,C,325,BA    210820C00325000,2021-08-20
BA,P,200,BA    210820P00200000,2021-08-20
BA,P,220,BA    210820P00220000,2021-08-20
BA,P,225,BA    210820P00225000,2021-08-20
BA,P,230,BA    210820P00230000,2021-08-20
BA,P,249.97,"",2021-08-20
BABA,C,200,BABA  210618C00200000,2021-06-18
BABA,C,210,BABA  210618C00210000,2021-06-18
BABA,C,215,BABA  210618C00215000,2021-06-18
BABA,C,218.73,"",2021-06-18
BABA,C,220,BABA  210618C00220000,2021-06-18
BABA,C,225,BABA  210618C00225000,2021-06-18
BABA,C,230,BABA  210618C00230000,2021-06-18
BABA,C,235,BABA  210618C00235000,2021-06-18
BABA,C,240,BABA  210618C00240000,2021-06-18
BABA,C,245,BABA  210618C00245000,2021-06-18
BABA,C,250,BABA  210618C00250000,2021-06-18
BABA,C,255,BABA  210618C00255000,2021-06-18
BABA,C,260,BABA  210618C00260000,2021-06-18
BABA,C,265,BABA  210618C00265000,2021-06-18
BABA,C,270,BABA  210618C00270000,2021-06-18
BABA,C,275,BABA  210618C00275000,2021-06-18
BABA,C,280,BABA  210618C00280000,2021-06-18
BABA,C,290,BABA  210618C00290000,2021-06-18
BABA,C,300,BABA  210618C00300000,2021-06-18
BABA,C,310,BABA  210618C00310000,2021-06-18
BABA,C,320,BABA  210618C00320000,2021-06-18
BABA,C,330,BABA  210618C00330000,2021-06-18
BABA,C,340,BABA  210618C00340000,2021-06-18
BABA,C,350,BABA  210618C00350000,2021-06-18
BABA,C,360,BABA  210618C00360000,2021-06-18
BABA,C,370,BABA  210618C00370000,2021-06-18
BABA,C,390,BABA  210618C00390000,2021-06-18
BABA,C,400,BABA  210618C00400000,2021-06-18
BABA,C,440,BABA  210618C00440000,2021-06-18
BABA,C,450,BABA  210618C00450000,2021-06-18
BABA,C,460,BABA  210618C00460000,2021-06-18
BABA,P,100,BABA  210618P00100000,2021-06-18
BABA,P,105,BABA  210618P00105000,2021-06-18
BABA,P,110,BABA  210618P00110000,2021-06-18
BABA,P,120,BABA  210618P00120000,2021-06-18
BABA,P,140,BABA  210618P00140000,2021-06-18
BABA,P,145,BABA  210618P00145000,2021-06-18
BABA,P,150,BABA  210618P00150000,2021-06-18
BABA,P,155,BABA  210618P00155000,2021-06-18
BABA,P,160,BABA  210618P00160000,2021-06-18
BABA,P,165,BABA  210618P00165000,2021-06-18
BABA,P,170,BABA  210618P00170000,2021-06-18
BABA,P,175,BABA  210618P00175000,2021-06-18
BABA,P,180,BABA  210618P00180000,2021-06-18
BABA,P,185,BABA  210618P00185000,2021-06-18
BABA,P,190,BABA  210618P00190000,2021-06-18
BABA,P,192.5,BABA  210618P00192500,2021-06-18
BABA,P,195,BABA  210618P00195000,2021-06-18
BABA,P,200,BABA  210618P00200000,2021-06-18
BABA,P,205,BABA  210618P00205000,2021-06-18
BABA,P,210,BABA  210618P00210000,2021-06-18
BABA,P,215,BABA  210618P00215000,2021-06-18
BABA,P,218.73,"",2021-06-18
BABA,P,220,BABA  210618P00220000,2021-06-18
BABA,P,225,BABA  210618P00225000,2021-06-18
BABA,P,230,BABA  210618P00230000,2021-06-18
BABA,P,235,BABA  210618P00235000,2021-06-18
BABA,P,240,BABA  210618P00240000,2021-06-18
BABA,P,245,BABA  210618P00245000,2021-06-18
BABA,P,250,BABA  210618P00250000,2021-06-18
BABA,P,260,BABA  210618P00260000,2021-06-18
BABA,P,270,BABA  210618P00270000,2021-06-18
BABA,P,280,BABA  210618P00280000,2021-06-18
BABA,P,300,BABA  210618P00300000,2021-06-18
BABA,C,210,BABA  210716C00210000,2021-07-16
BABA,C,215,BABA  210716C00215000,2021-07-16
BABA,C,218.73,"",2021-07-16
BABA,C,220,BABA  210716C00220000,2021-07-16
BABA,C,225,BABA  210716C00225000,2021-07-16
BABA,C,230,BABA  210716C00230000,2021-07-16
BABA,C,235,BABA  210716C00235000,2021-07-16
BABA,C,240,BABA  210716C00240000,2021-07-16
BABA,C,245,BABA  210716C00245000,2021-07-16
BABA,C,250,BABA  210716C00250000,2021-07-16
BABA,C,255,BABA  210716C00255000,2021-07-16
BABA,C,260,BABA  210716C00260000,2021-07-16
BABA,C,270,BABA  210716C00270000,2021-07-16
BABA,C,275,BABA  210716C00275000,2021-07-16
BABA,C,280,BABA  210716C00280000,2021-07-16
BABA,C,290,BABA  210716C00290000,2021-07-16
BABA,C,300,BABA  210716C00300000,2021-07-16
BABA,C,310,BABA  210716C00310000,2021-07-16
BABA,C,330,BABA  210716C00330000,2021-07-16
BABA,C,460,BABA  210716C00460000,2021-07-16
BABA,P,110,BABA  210716P00110000,2021-07-16
BABA,P,180,BABA  210716P00180000,2021-07-16
BABA,P,185,BABA  210716P00185000,2021-07-16
BABA,P,190,BABA  210716P00190000,2021-07-16
BABA,P,195,BABA  210716P00195000,2021-07-16
BABA,P,200,BABA  210716P00200000,2021-07-16
BABA,P,205,BABA  210716P00205000,2021-07-16
BABA,P,210,BABA  210716P00210000,2021-07-16
BABA,P,215,BABA  210716P00215000,2021-07-16
BABA,P,218.73,"",2021-07-16
BABA,P,220,BABA  210716P00220000,2021-07-16
BABA,P,225,BABA  210716P00225000,2021-07-16
BABA,P,230,BABA  210716P00230000,2021-07-16
BABA,P,240,BABA  210716P00240000,2021-07-16
BABA,P,250,BABA  210716P00250000,2021-07-16
BABA,C,218.73,"",2021-08-20
BABA,C,220,BABA  210820C00220000,2021-08-20
BABA,C,225,BABA  210820C00225000,2021-08-20
BABA,C,230,BABA  210820C00230000,2021-08-20
BABA,C,235,BABA  210820C00235000,2021-08-20
BABA,C,240,BABA  210820C00240000,2021-08-20
BABA,C,245,BABA  210820C00245000,2021-08-20
BABA,C,250,BABA  210820C00250000,2021-08-20
BABA,C,260,BABA  210820C00260000,2021-08-20
BABA,C,270,BABA  210820C00270000,2021-08-20
BABA,C,280,BABA  210820C00280000,2021-08-20
BABA,C,290,BABA  210820C00290000,2021-08-20
BABA,C,300,BABA  210820C00300000,2021-08-20
BABA,C,460,BABA  210820C00460000,2021-08-20
BABA,P,110,BABA  210820P00110000,2021-08-20
BABA,P,170,BABA  210820P00170000,2021-08-20
BABA,P,180,BABA  210820P00180000,2021-08-20
BABA,P,190,BABA  210820P00190000,2021-08-20
BABA,P,200,BABA  210820P00200000,2021-08-20
BABA,P,205,BABA  210820P00205000,2021-08-20
BABA,P,210,BABA  210820P00210000,2021-08-20
BABA,P,215,BABA  210820P00215000,2021-08-20
BABA,P,218.73,"",2021-08-20
BABA,P,220,BABA  210820P00220000,2021-08-20
BABA,P,225,BABA  210820P00225000,2021-08-20
BABA,P,230,BABA  210820P00230000,2021-08-20
BABA,P,250,BABA  210820P00250000,2021-08-20
BABA,P,260,BABA  210820P00260000,2021-08-20
BAC,C,30,BAC   210618C00030000,2021-06-18
BAC,C,35,BAC   210618C00035000,2021-06-18
BAC,C,39,BAC   210618C00039000,2021-06-18
BAC,C,40,BAC   210618C00040000,2021-06-18
BAC,C,41,BAC   210618C00041000,2021-06-18
BAC,C,42,BAC   210618C00042000,2021-06-18
BAC,C,42.5,BAC   210618C00042500,2021-06-18
BAC,C,43,BAC   210618C00043000,2021-06-18
BAC,C,43.3,"",2021-06-18
BAC,C,43.5,BAC   210618C00043500,2021-06-18
BAC,C,44,BAC   210618C00044000,2021-06-18
BAC,C,45,BAC   210618C00045000,2021-06-18
BAC,C,46,BAC   210618C00046000,2021-06-18
BAC,C,47,BAC   210618C00047000,2021-06-18
BAC,C,48,BAC   210618C00048000,2021-06-18
BAC,C,50,BAC   210618C00050000,2021-06-18
BAC,P,5,BAC   210618P00005000,2021-06-18
BAC,P,15,BAC   210618P00015000,2021-06-18
BAC,P,18,BAC   210618P00018000,2021-06-18
BAC,P,20,BAC   210618P00020000,2021-06-18
BAC,P,22,BAC   210618P00022000,2021-06-18
BAC,P,23,BAC   210618P00023000,2021-06-18
BAC,P,25,BAC   210618P00025000,2021-06-18
BAC,P,26,BAC   210618P00026000,2021-06-18
BAC,P,27,BAC   210618P00027000,2021-06-18
BAC,P,28,BAC   210618P00028000,2021-06-18
BAC,P,30,BAC   210618P00030000,2021-06-18
BAC,P,31,BAC   210618P00031000,2021-06-18
BAC,P,32,BAC   210618P00032000,2021-06-18
BAC,P,33,BAC   210618P00033000,2021-06-18
BAC,P,34,BAC   210618P00034000,2021-06-18
BAC,P,35,BAC   210618P00035000,2021-06-18
BAC,P,36,BAC   210618P00036000,2021-06-18
BAC,P,37,BAC   210618P00037000,2021-06-18
BAC,P,38,BAC   210618P00038000,2021-06-18
BAC,P,39,BAC   210618P00039000,2021-06-18
BAC,P,40,BAC   210618P00040000,2021-06-18
BAC,P,41,BAC   210618P00041000,2021-06-18
BAC,P,42,BAC   210618P00042000,2021-06-18
BAC,P,43,BAC   210618P00043000,2021-06-18
BAC,P,43.3,"",2021-06-18
BAC,P,45,BAC   210618P00045000,2021-06-18
BAC,P,48,BAC   210618P00048000,2021-06-18
BAC,C,37,BAC   210716C00037000,2021-07-16
BAC,C,39,BAC   210716C00039000,2021-07-16
BAC,C,40,BAC   210716C00040000,2021-07-16
BAC,C,41,BAC   210716C00041000,2021-07-16
BAC,C,42,BAC   210716C00042000,2021-07-16
BAC,C,43,BAC   210716C00043000,2021-07-16
BAC,C,43.3,"",2021-07-16
BAC,C,44,BAC   210716C00044000,2021-07-16
BAC,C,45,BAC   210716C00045000,2021-07-16
BAC,C,46,BAC   210716C00046000,2021-07-16
BAC,C,48,BAC   210716C00048000,2021-07-16
BAC,C,50,BAC   210716C00050000,2021-07-16
BAC,P,29,BAC   210716P00029000,2021-07-16
BAC,P,30,BAC   210716P00030000,2021-07-16
BAC,P,34,BAC   210716P00034000,2021-07-16
BAC,P,35,BAC   210716P00035000,2021-07-16
BAC,P,36,BAC   210716P00036000,2021-07-16
BAC,P,37,BAC   210716P00037000,2021-07-16
BAC,P,38,BAC   210716P00038000,2021-07-16
BAC,P,39,BAC   210716P00039000,2021-07-16
BAC,P,40,BAC   210716P00040000,2021-07-16
BAC,P,41,BAC   210716P00041000,2021-07-16
BAC,P,42,BAC   210716P00042000,2021-07-16
BAC,P,43,BAC   210716P00043000,2021-07-16
BAC,P,43.3,"",2021-07-16
BAC,C,35,BAC   210820C00035000,2021-08-20
BAC,C,36,BAC   210820C00036000,2021-08-20
BAC,C,37,BAC   210820C00037000,2021-08-20
BAC,C,38,BAC   210820C00038000,2021-08-20
BAC,C,39,BAC   210820C00039000,2021-08-20
BAC,C,40,BAC   210820C00040000,2021-08-20
BAC,C,41,BAC   210820C00041000,2021-08-20
BAC,C,42,BAC   210820C00042000,2021-08-20
BAC,C,43,BAC   210820C00043000,2021-08-20
BAC,C,43.3,"",2021-08-20
BAC,C,44,BAC   210820C00044000,2021-08-20
BAC,C,45,BAC   210820C00045000,2021-08-20
BAC,C,46,BAC   210820C00046000,2021-08-20
BAC,C,47,BAC   210820C00047000,2021-08-20
BAC,C,48,BAC   210820C00048000,2021-08-20
BAC,C,50,BAC   210820C00050000,2021-08-20
BAC,P,15,BAC   210820P00015000,2021-08-20
BAC,P,20,BAC   210820P00020000,2021-08-20
BAC,P,24,BAC   210820P00024000,2021-08-20
BAC,P,25,BAC   210820P00025000,2021-08-20
BAC,P,26,BAC   210820P00026000,2021-08-20
BAC,P,27,BAC   210820P00027000,2021-08-20
BAC,P,28,BAC   210820P00028000,2021-08-20
BAC,P,29,BAC   210820P00029000,2021-08-20
BAC,P,30,BAC   210820P00030000,2021-08-20
BAC,P,32,BAC   210820P00032000,2021-08-20
BAC,P,33,BAC   210820P00033000,2021-08-20
BAC,P,34,BAC   210820P00034000,2021-08-20
BAC,P,35,BAC   210820P00035000,2021-08-20
BAC,P,37,BAC   210820P00037000,2021-08-20
BAC,P,38,BAC   210820P00038000,2021-08-20
BAC,P,39,BAC   210820P00039000,2021-08-20
BAC,P,40,BAC   210820P00040000,2021-08-20
BAC,P,42,BAC   210820P00042000,2021-08-20
BAC,P,43,BAC   210820P00043000,2021-08-20
BAC,P,43.3,"",2021-08-20
BALY,C,55.97,"",2021-08-20
BALY,C,75,BALY  210820C00075000,2021-08-20
BANC,C,18,BANC  210716C00018000,2021-07-16
BANC,C,18.04,"",2021-07-16
BAX,C,82.3,"",2021-07-16
BAX,C,82.5,BAX   210716C00082500,2021-07-16
BB,C,7,BB    210618C00007000,2021-06-18
BB,C,8,BB    210618C00008000,2021-06-18
BB,C,9,BB    210618C00009000,2021-06-18
BB,C,9.5,BB    210618C00009500,2021-06-18
BB,C,10,BB    210618C00010000,2021-06-18
BB,C,11,BB    210618C00011000,2021-06-18
BB,C,12,BB    210618C00012000,2021-06-18
BB,C,12.5,BB    210618C00012500,2021-06-18
BB,C,13,BB    210618C00013000,2021-06-18
BB,C,13.86,"",2021-06-18
BB,C,14,BB    210618C00014000,2021-06-18
BB,C,15,BB    210618C00015000,2021-06-18
BB,C,16,BB    210618C00016000,2021-06-18
BB,C,17,BB    210618C00017000,2021-06-18
BB,C,18,BB    210618C00018000,2021-06-18
BB,C,19,BB    210618C00019000,2021-06-18
BB,C,20,BB    210618C00020000,2021-06-18
BB,C,21,BB    210618C00021000,2021-06-18
BB,C,22,BB    210618C00022000,2021-06-18
BB,C,24,BB    210618C00024000,2021-06-18
BB,C,25,BB    210618C00025000,2021-06-18
BB,C,30,BB    210618C00030000,2021-06-18
BB,C,35,BB    210618C00035000,2021-06-18
BB,C,40,BB    210618C00040000,2021-06-18
BB,C,42,BB    210618C00042000,2021-06-18
BB,C,43,BB    210618C00043000,2021-06-18
BB,P,5,BB    210618P00005000,2021-06-18
BB,P,6,BB    210618P00006000,2021-06-18
BB,P,7,BB    210618P00007000,2021-06-18
BB,P,7.5,BB    210618P00007500,2021-06-18
BB,P,8,BB    210618P00008000,2021-06-18
BB,P,8.5,BB    210618P00008500,2021-06-18
BB,P,9,BB    210618P00009000,2021-06-18
BB,P,9.5,BB    210618P00009500,2021-06-18
BB,P,10,BB    210618P00010000,2021-06-18
BB,P,11,BB    210618P00011000,2021-06-18
BB,P,13,BB    210618P00013000,2021-06-18
BB,P,13.86,"",2021-06-18
BB,P,15,BB    210618P00015000,2021-06-18
BB,C,8,BB    210716C00008000,2021-07-16
BB,C,10,BB    210716C00010000,2021-07-16
BB,C,11,BB    210716C00011000,2021-07-16
BB,C,12,BB    210716C00012000,2021-07-16
BB,C,13,BB    210716C00013000,2021-07-16
BB,C,13.86,"",2021-07-16
BB,C,15,BB    210716C00015000,2021-07-16
BB,C,17,BB    210716C00017000,2021-07-16
BB,C,20,BB    210716C00020000,2021-07-16
BB,C,24,BB    210716C00024000,2021-07-16
BB,P,7,BB    210716P00007000,2021-07-16
BB,P,8,BB    210716P00008000,2021-07-16
BB,P,9,BB    210716P00009000,2021-07-16
BB,P,10,BB    210716P00010000,2021-07-16
BB,P,13.86,"",2021-07-16
BBBY,C,27,BBBY  210618C00027000,2021-06-18
BBBY,C,28,BBBY  210618C00028000,2021-06-18
BBBY,C,29,BBBY  210618C00029000,2021-06-18
BBBY,C,30,BBBY  210618C00030000,2021-06-18
BBBY,C,31.66,"",2021-06-18
BBBY,C,32,BBBY  210618C00032000,2021-06-18
BBBY,C,40,BBBY  210618C00040000,2021-06-18
BBBY,P,22,BBBY  210618P00022000,2021-06-18
BBBY,P,23,BBBY  210618P00023000,2021-06-18
BBBY,P,24,BBBY  210618P00024000,2021-06-18
BBBY,P,25,BBBY  210618P00025000,2021-06-18
BBBY,P,27,BBBY  210618P00027000,2021-06-18
BBBY,P,27.5,BBBY  210618P00027500,2021-06-18
BBBY,P,31.66,"",2021-06-18
BBBY,C,27,BBBY  210716C00027000,2021-07-16
BBBY,C,28,BBBY  210716C00028000,2021-07-16
BBBY,C,31.66,"",2021-07-16
BBBY,P,21,BBBY  210716P00021000,2021-07-16
BBBY,P,22,BBBY  210716P00022000,2021-07-16
BBBY,P,23,BBBY  210716P00023000,2021-07-16
BBBY,P,26,BBBY  210716P00026000,2021-07-16
BBBY,P,27,BBBY  210716P00027000,2021-07-16
BBBY,P,29,BBBY  210716P00029000,2021-07-16
BBBY,P,30,BBBY  210716P00030000,2021-07-16
BBBY,P,31.66,"",2021-07-16
BBBY,C,28,BBBY  210820C00028000,2021-08-20
BBBY,C,31.66,"",2021-08-20
BBBY,P,20,BBBY  210820P00020000,2021-08-20
BBBY,P,21,BBBY  210820P00021000,2021-08-20
BBBY,P,22,BBBY  210820P00022000,2021-08-20
BBBY,P,24,BBBY  210820P00024000,2021-08-20
BBBY,P,25,BBBY  210820P00025000,2021-08-20
BBBY,P,30,BBBY  210820P00030000,2021-08-20
BBBY,P,31.66,"",2021-08-20
BBIG,C,2.5,BBIG  210618C00002500,2021-06-18
BBIG,C,3,BBIG  210618C00003000,2021-06-18
BBIG,C,3.5,BBIG  210618C00003500,2021-06-18
BBIG,C,4,BBIG  210618C00004000,2021-06-18
BBIG,C,4.25,"",2021-06-18
BBIG,C,5,BBIG  210618C00005000,2021-06-18
BBIG,C,7.5,BBIG  210618C00007500,2021-06-18
BBIG,C,2.5,BBIG  210716C00002500,2021-07-16
BBIG,C,3,BBIG  210716C00003000,2021-07-16
BBIG,C,3.5,BBIG  210716C00003500,2021-07-16
BBIG,C,4,BBIG  210716C00004000,2021-07-16
BBIG,C,4.25,"",2021-07-16
BBIG,C,5,BBIG  210716C00005000,2021-07-16
BBIG,C,7.5,BBIG  210716C00007500,2021-07-16
BBW,C,16.71,"",2021-06-18
BBW,C,20,BBW   210618C00020000,2021-06-18
BBW,P,5,BBW   210618P00005000,2021-06-18
BBW,P,15,BBW   210618P00015000,2021-06-18
BBW,P,16.71,"",2021-06-18
BBY,C,115,BBY   210618C00115000,2021-06-18
BBY,C,116.07,"",2021-06-18
BBY,C,120,BBY   210618C00120000,2021-06-18
BBY,C,125,BBY   210618C00125000,2021-06-18
BBY,C,130,BBY   210618C00130000,2021-06-18
BBY,P,115,BBY   210618P00115000,2021-06-18
BBY,P,116.07,"",2021-06-18
BBY,C,116.07,"",2021-08-20
BBY,C,120,BBY   210820C00120000,2021-08-20
BC,C,97.31,"",2021-07-16
BC,C,105,BC    210716C00105000,2021-07-16
BCOR,C,17.5,BCOR  210618C00017500,2021-06-18
BCOR,C,17.6,"",2021-06-18
BCOR,P,12.5,BCOR  210618P00012500,2021-06-18
BCOR,P,15,BCOR  210618P00015000,2021-06-18
BCOR,P,17.6,"",2021-06-18
BCOR,P,17.5,BCOR  210716P00017500,2021-07-16
BCOR,P,17.6,"",2021-07-16
BCRX,C,10,BCRX  210618C00010000,2021-06-18
BCRX,C,12,BCRX  210618C00012000,2021-06-18
BCRX,C,14,BCRX  210618C00014000,2021-06-18
BCRX,C,15,BCRX  210618C00015000,2021-06-18
BCRX,C,16,BCRX  210618C00016000,2021-06-18
BCRX,C,16.31,"",2021-06-18
BCRX,C,17,BCRX  210618C00017000,2021-06-18
BCRX,C,18,BCRX  210618C00018000,2021-06-18
BCRX,C,19,BCRX  210618C00019000,2021-06-18
BCRX,C,20,BCRX  210618C00020000,2021-06-18
BCRX,P,7,BCRX  210618P00007000,2021-06-18
BCRX,P,12,BCRX  210618P00012000,2021-06-18
BCRX,P,16.31,"",2021-06-18
BDN,C,14.63,"",2021-07-16
BDN,C,15,BDN   210716C00015000,2021-07-16
BDSI,C,3.61,"",2021-06-18
BDSI,C,4,BDSI  210618C00004000,2021-06-18
BDSI,C,5,BDSI  210618C00005000,2021-06-18
BEKE,P,40,BEKE  210618P00040000,2021-06-18
BEKE,P,45,BEKE  210618P00045000,2021-06-18
BEKE,P,46.61,"",2021-06-18
BEKE,P,40,BEKE  210716P00040000,2021-07-16
BEKE,P,46.61,"",2021-07-16
BEKE,P,50,BEKE  210716P00050000,2021-07-16
BEKE,P,55,BEKE  210716P00055000,2021-07-16
BFI,C,10.02,"",2021-08-20
BFI,C,15,BFI   210820C00015000,2021-08-20
BFI,C,17.5,BFI   210820C00017500,2021-08-20
BFI,C,20,BFI   210820C00020000,2021-08-20
BFLY,C,12.5,BFLY  210618C00012500,2021-06-18
BFLY,C,13.27,"",2021-06-18
BFLY,C,15,BFLY  210618C00015000,2021-06-18
BFLY,P,10,BFLY  210618P00010000,2021-06-18
BFLY,P,12.5,BFLY  210618P00012500,2021-06-18
BFLY,P,13.27,"",2021-06-18
BFLY,C,12.5,BFLY  210716C00012500,2021-07-16
BFLY,C,13.27,"",2021-07-16
BFLY,C,15,BFLY  210716C00015000,2021-07-16
BFLY,C,17.5,BFLY  210716C00017500,2021-07-16
BFLY,C,20,BFLY  210716C00020000,2021-07-16
BFLY,C,25,BFLY  210716C00025000,2021-07-16
BG,C,87.5,BG    210716C00087500,2021-07-16
BG,C,89.11,"",2021-07-16
BGCP,C,4.5,BGCP  210618C00004500,2021-06-18
BGCP,C,5,BGCP  210618C00005000,2021-06-18
BGCP,C,5.5,BGCP  210618C00005500,2021-06-18
BGCP,C,6,BGCP  210618C00006000,2021-06-18
BGCP,C,6.13,"",2021-06-18
BGCP,C,7,BGCP  210618C00007000,2021-06-18
BGCP,C,5.5,BGCP  210716C00005500,2021-07-16
BGCP,C,6,BGCP  210716C00006000,2021-07-16
BGCP,C,6.13,"",2021-07-16
BGCP,C,7,BGCP  210716C00007000,2021-07-16
BGCP,C,5,BGCP  210820C00005000,2021-08-20
BGCP,C,6,BGCP  210820C00006000,2021-08-20
BGCP,C,6.13,"",2021-08-20
BGS,C,30,BGS   210618C00030000,2021-06-18
BGS,C,31.46,"",2021-06-18
BGS,C,32.5,BGS   210618C00032500,2021-06-18
BGS,C,35,BGS   210618C00035000,2021-06-18
BGS,P,25,BGS   210618P00025000,2021-06-18
BGS,P,30,BGS   210618P00030000,2021-06-18
BGS,P,31.46,"",2021-06-18
BGS,C,31.46,"",2021-08-20
BGS,C,32.5,BGS   210820C00032500,2021-08-20
