TKR,profit,loss,roi,date_exp,date_run
BABA,10.3,20,51.50%,2021-08-20,2021-06-28
CLOV,4.55,10,45.50%,2021-08-20,2021-06-28
DKNG,8.37,20,41.85%,2021-08-20,2021-06-28
INTC,4.39,10,43.90%,2021-08-20,2021-06-28
NIO,8.32,20,41.60%,2021-08-20,2021-06-28
SPY,14.71,30,49.03%,2021-08-20,2021-06-28
UBER,4.55,10,45.50%,2021-08-20,2021-06-28
WFC,4.2,10,42.00%,2021-08-20,2021-06-28
BABA,11.7,20,58.50%,2021-08-20,2021-06-25
CLOV,4.65,10,46.50%,2021-08-20,2021-06-25
DKNG,8.48,20,42.40%,2021-08-20,2021-06-25
FSR,4.86,12.5,38.88%,2021-08-20,2021-06-25
INTC,4.44,10,44.40%,2021-08-20,2021-06-25
NIO,8.56,20,42.80%,2021-08-20,2021-06-25
SPY,14.92,30,49.73%,2021-08-20,2021-06-25
UBER,4.56,10,45.60%,2021-08-20,2021-06-25
WFC,4.17,10,41.70%,2021-08-20,2021-06-25
BABA,9.7,20,48.50%,2021-08-20,2021-06-24
CLOV,4.65,10,46.50%,2021-08-20,2021-06-24
DKNG,8.41,20,42.05%,2021-08-20,2021-06-24
INTC,4.34,10,43.40%,2021-08-20,2021-06-24
NIO,8.51,20,42.55%,2021-08-20,2021-06-24
SPY,15.07,30,50.23%,2021-08-20,2021-06-24
WFC,4.28,10,42.80%,2021-08-20,2021-06-24
BA,11.6,25,46.40%,2021-08-20,2021-06-23
BABA,9.45,20,47.25%,2021-08-20,2021-06-23
CLOV,4.65,10,46.50%,2021-08-20,2021-06-23
DKNG,8.4,20,42.00%,2021-08-20,2021-06-23
INTC,4.39,10,43.90%,2021-08-20,2021-06-23
MU,4.7,10,47.00%,2021-08-20,2021-06-23
NIO,8.58,20,42.90%,2021-08-20,2021-06-23
SPY,9.04,20,45.20%,2021-08-20,2021-06-23
BA,11.8,25,47.20%,2021-08-20,2021-06-22
BABA,9.95,20,49.75%,2021-08-20,2021-06-22
CLOV,4.6,10,46.00%,2021-08-20,2021-06-22
DKNG,8.47,20,42.35%,2021-08-20,2021-06-22
FSR,5.11,12.5,40.88%,2021-08-20,2021-06-22
INTC,4.46,10,44.60%,2021-08-20,2021-06-22
MU,4.75,10,47.50%,2021-08-20,2021-06-22
NIO,8.23,20,41.15%,2021-08-20,2021-06-22
SPY,9.09,20,45.45%,2021-08-20,2021-06-22
BABA,9.55,20,47.8%,2021-08-20,2021-06-21
CLOV,4.35,10,43.5%,2021-08-20,2021-06-21
FSR,5.15,12.5,41.2%,2021-08-20,2021-06-21
INTC,4.45,10,44.5%,2021-08-20,2021-06-21
NIO,8.44,20,42.2%,2021-08-20,2021-06-21
SPY,9.11,20,45.5%,2021-08-20,2021-06-21
AAPL,7.6,20,38%,2021-07-16,2021-06-18
AMC,10.15,20,51%,2021-07-16,2021-06-18
AMD,4.39,10,44%,2021-07-16,2021-06-18
BA,12.35,25,49%,2021-07-16,2021-06-18
BABA,9.75,20,49%,2021-07-16,2021-06-18
BIDU,9.5,20,48%,2021-07-16,2021-06-18
INTC,3.86,10,39%,2021-07-16,2021-06-18
MPC,4.62,10,46%,2021-07-16,2021-06-18
MS,7.68,20,38%,2021-07-16,2021-06-18
NKLA,4.06,10,41%,2021-07-16,2021-06-18
PTON,24.19,40,60%,2021-07-16,2021-06-18
RIDE,4.4,10,44%,2021-07-16,2021-06-18
SOFI,5.59,15,37%,2021-07-16,2021-06-18
SPCE,8.22,20,41%,2021-07-16,2021-06-18
SPY,8.75,20,44%,2021-07-16,2021-06-18
TDOC,25.52,80,32%,2021-07-16,2021-06-18
TSLA,19.5,40,49%,2021-07-16,2021-06-18
TSM,8.26,20,41%,2021-07-16,2021-06-18
TWTR,6.08,12.5,49%,2021-07-16,2021-06-18
WFC,3.9,10,39%,2021-07-16,2021-06-18
WISH,4,10,40%,2021-07-16,2021-06-18
XOM,4.34,10,43%,2021-07-16,2021-06-18
AAPL,7.38,20,36.90%,2021-07-16,2021-06-17
AMD,4.45,10,44.50%,2021-07-16,2021-06-17
BA,16.59,40,41.48%,2021-07-16,2021-06-17
BIDU,9.1,20,45.50%,2021-07-16,2021-06-17
INTC,3.81,10,38.10%,2021-07-16,2021-06-17
IWM,8.44,20,42.20%,2021-07-16,2021-06-17
JD,4.35,10,43.50%,2021-07-16,2021-06-17
MU,4.75,10,47.50%,2021-07-16,2021-06-17
QCOM,8.48,20,42.40%,2021-07-16,2021-06-17
RIDE,4.28,10,42.80%,2021-07-16,2021-06-17
SOFI,5.49,15,36.60%,2021-07-16,2021-06-17
SPY,8.38,20,41.90%,2021-07-16,2021-06-17
TDOC,25.89,110,23.54%,2021-07-16,2021-06-17
TSLA,27,55,49.09%,2021-07-16,2021-06-17
TSM,8.07,20,40.35%,2021-07-16,2021-06-17
TWTR,6.06,12.5,48.48%,2021-07-16,2021-06-17
WFC,3.9,10,39.00%,2021-07-16,2021-06-17
WISH,4.1,10,41.00%,2021-07-16,2021-06-17
XOM,3.99,10,39.90%,2021-07-16,2021-06-17
AAPL,7.65,20,38.25%,2021-07-16,2021-06-16
AMD,4.33,10,43.30%,2021-07-16,2021-06-16
INTC,3.81,10,38.10%,2021-07-16,2021-06-16
IWM,8.61,20,43.05%,2021-07-16,2021-06-16
JPM,8.25,20,41.25%,2021-07-16,2021-06-16
MU,4.6,10,46.00%,2021-07-16,2021-06-16
RIDE,4.29,10,42.90%,2021-07-16,2021-06-16
SOFI,6.38,12.5,51.04%,2021-07-16,2021-06-16
SPY,8.66,20,43.30%,2021-07-16,2021-06-16
TDOC,25.93,110,23.57%,2021-07-16,2021-06-16
TSLA,40.5,95,42.63%,2021-07-16,2021-06-16
TSM,8.05,20,40.25%,2021-07-16,2021-06-16
TWTR,4.66,12.5,37.28%,2021-07-16,2021-06-16
WISH,4.15,10,41.50%,2021-07-16,2021-06-16
AAPL,7.84,20,39%,2021-07-16,2021-06-15
AMD,4.4,10,44%,2021-07-16,2021-06-15
BIDU,9.15,20,46%,2021-07-16,2021-06-15
C,4.39,10,44%,2021-07-16,2021-06-15
DIS,8.18,20,41%,2021-07-16,2021-06-15
INTC,3.93,10,39%,2021-07-16,2021-06-15
IWM,8.33,20,42%,2021-07-16,2021-06-15
JPM,8.38,20,42%,2021-07-16,2021-06-15
MU,4.62,10,46%,2021-07-16,2021-06-15
QCOM,8.11,20,41%,2021-07-16,2021-06-15
RIDE,4.24,10,42%,2021-07-16,2021-06-15
SOFI,6.51,12.5,52%,2021-07-16,2021-06-15
SPCE,8.08,20,40%,2021-07-16,2021-06-15
SPY,8.62,20,43%,2021-07-16,2021-06-15
TDOC,25.94,110,24%,2021-07-16,2021-06-15
TSM,8.08,20,40%,2021-07-16,2021-06-15
TWTR,6.75,15,45%,2021-07-16,2021-06-15
WISH,4.15,10,41%,2021-07-16,2021-06-15
AAPL,7.64,20,38.200%,2021-07-16,2021-06-14
AMD,4.37,10,43.700%,2021-07-16,2021-06-14
BIDU,9.2,20,46.000%,2021-07-16,2021-06-14
C,4.33,10,43.300%,2021-07-16,2021-06-14
DIS,8.22,20,41.100%,2021-07-16,2021-06-14
INTC,3.86,10,38.600%,2021-07-16,2021-06-14
IWM,8.38,20,41.900%,2021-07-16,2021-06-14
JPM,8.32,20,41.600%,2021-07-16,2021-06-14
MU,4.63,10,46.300%,2021-07-16,2021-06-14
QCOM,8.01,20,40.050%,2021-07-16,2021-06-14
SOFI,6.31,12.5,50.480%,2021-07-16,2021-06-14
SPY,8.68,20,43.400%,2021-07-16,2021-06-14
TDOC,26.03,110,23.664%,2021-07-16,2021-06-14
TSLA,38.65,95,40.684%,2021-07-16,2021-06-14
TSM,8.24,20,41.200%,2021-07-16,2021-06-14
TWTR,6.64,15,44.267%,2021-07-16,2021-06-14
WISH,4.35,10,43.500%,2021-07-16,2021-06-14
XOM,3.99,10,39.900%,2021-07-16,2021-06-14
AAPL,7.45,20,37.250%,2021-07-16,2021-06-11
AMC,19.15,40,47.875%,2021-07-16,2021-06-11
AMD,4.39,10,43.900%,2021-07-16,2021-06-11
BIDU,9.15,20,45.750%,2021-07-16,2021-06-11
C,4.23,10,42.300%,2021-07-16,2021-06-11
DIS,8.29,20,41.450%,2021-07-16,2021-06-11
INTC,3.89,10,38.900%,2021-07-16,2021-06-11
IWM,8.4,20,42.000%,2021-07-16,2021-06-11
RIDE,4.35,10,43.500%,2021-07-16,2021-06-11
SOFI,6.26,12.5,50.080%,2021-07-16,2021-06-11
SPY,8.57,20,42.850%,2021-07-16,2021-06-11
TDOC,25.79,110,23.445%,2021-07-16,2021-06-11
TSLA,39.95,95,42.053%,2021-07-16,2021-06-11
TSM,7.99,20,39.950%,2021-07-16,2021-06-11
TWTR,6.72,15,44.800%,2021-07-16,2021-06-11
XOM,4.03,10,40.300%,2021-07-16,2021-06-11
AAPL,7.69,20,38.45%,2021-07-16,2021-06-10
AMC,18.4,40,46.00%,2021-07-16,2021-06-10
AMD,4.46,10,44.60%,2021-07-16,2021-06-10
C,4.32,10,43.20%,2021-07-16,2021-06-10
DIS,8.4,20,42.00%,2021-07-16,2021-06-10
INTC,3.92,10,39.20%,2021-07-16,2021-06-10
IWM,8.68,20,43.40%,2021-07-16,2021-06-10
RIDE,4.49,10,44.90%,2021-07-16,2021-06-10
SOFI,5.8,15,38.67%,2021-07-16,2021-06-10
SPY,8.57,20,42.85%,2021-07-16,2021-06-10
TDOC,26.43,110,24.03%,2021-07-16,2021-06-10
TSLA,40.9,95,43.05%,2021-07-16,2021-06-10
TSM,8.19,20,40.95%,2021-07-16,2021-06-10
TWTR,6.87,15,45.80%,2021-07-16,2021-06-10
WISH,4.45,10,44.50%,2021-07-16,2021-06-10
XPEV,7.39,20,36.95%,2021-07-16,2021-06-10
AAPL,7.78,20,38.90%,2021-07-16,2021-06-09
AMC,19.05,40,47.62%,2021-07-16,2021-06-09
AMD,4.44,10,44.40%,2021-07-16,2021-06-09
DIS,8.42,20,42.10%,2021-07-16,2021-06-09
INTC,3.97,10,39.70%,2021-07-16,2021-06-09
JD,4.93,12.5,39.44%,2021-07-16,2021-06-09
QS,8.84,20,44.20%,2021-07-16,2021-06-09
RIDE,4.65,10,46.50%,2021-07-16,2021-06-09
SOFI,6.55,12.5,52.40%,2021-07-16,2021-06-09
SPY,8.73,20,43.65%,2021-07-16,2021-06-09
TDOC,27.48,110,24.98%,2021-07-16,2021-06-09
TSM,8.19,20,40.95%,2021-07-16,2021-06-09
TWTR,4.9,12.5,39.20%,2021-07-16,2021-06-09
WISH,4.6,10,46.00%,2021-07-16,2021-06-09
XPEV,7.48,20,37.40%,2021-07-16,2021-06-09
AAPL,7.86,20,39.300%,2021-07-16,2021-06-08
AMD,4.42,10,44.200%,2021-07-16,2021-06-08
BABA,9.15,20,45.750%,2021-07-16,2021-06-08
BIDU,12.87,35,36.771%,2021-07-16,2021-06-08
DIS,8.47,20,42.350%,2021-07-16,2021-06-08
INTC,3.99,10,39.900%,2021-07-16,2021-06-08
JD,5.05,12.5,40.400%,2021-07-16,2021-06-08
MU,4.75,10,47.500%,2021-07-16,2021-06-08
QS,8.71,20,43.550%,2021-07-16,2021-06-08
RIDE,5.95,10,59.500%,2021-07-16,2021-06-08
SOFI,6.15,15,41.000%,2021-07-16,2021-06-08
SPY,8.72,20,43.600%,2021-07-16,2021-06-08
TDOC,27.04,110,24.582%,2021-07-16,2021-06-08
TSLA,51.15,115,44.478%,2021-07-16,2021-06-08
TSM,8.34,20,41.700%,2021-07-16,2021-06-08
TWTR,5.02,12.5,40.160%,2021-07-16,2021-06-08
XPEV,7.7,20,38.500%,2021-07-16,2021-06-08
AAPL,7.96,20,39.800%,2021-07-16,2021-06-04
AMC,21.65,45,48.111%,2021-07-16,2021-06-04
AMD,4.53,10,45.300%,2021-07-16,2021-06-04
BABA,9.35,20,46.750%,2021-07-16,2021-06-04
DIS,8.67,20,43.350%,2021-07-16,2021-06-04
INTC,4.06,10,40.600%,2021-07-16,2021-06-04
MU,4.72,10,47.200%,2021-07-16,2021-06-04
NKLA,4.86,12.5,38.880%,2021-07-16,2021-06-04
RIDE,4.4,10,44.000%,2021-07-16,2021-06-04
SPCE,8.69,20,43.450%,2021-07-16,2021-06-04
SPY,8.79,20,43.950%,2021-07-16,2021-06-04
TSM,8.52,20,42.600%,2021-07-16,2021-06-04
TWTR,5.04,12.5,40.320%,2021-07-16,2021-06-04
XPEV,7.68,20,38.400%,2021-07-16,2021-06-04
